row_label_raw,row_label_full,Công ty Cổ phần Thống Nhất,21.762.399.556,52.514.203.628,numeric__21.762.399.556,numeric__52.514.203.628
Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,Công ty TNHH Nghiên cứu Khoa học & SXTN Cao su Visorutex,(651.199.966),(441.828.223),-651199966.0,-441828223.0
Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,Công ty Cổ phần Đầu tư Xây dựng Cơ sở Hạ tầng Bình Phước,(2.194.815.889),10.833.654.274,-2194815889.0,10833654274.0
Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,Công ty Cổ phần Kinh doanh BOT Đường ĐT.741,6.646.541.825,19.914.252.809,6646541825.0,19914252809.0
Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,Công ty Cổ phần Gỗ MDF VRG - Dongwha,268.315.617.442,283.929.175.648,268315617442.0,283929175648.0
Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,Công ty Đầu tư Phát triển VRG Long Thành,-,7.481.809.554,,7481809554.0
Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,Công ty Cổ phần Cao su Thành phố Hồ Chí Minh,4.899.552.508,(43.802.370.634),4899552508.0,-43802370634.0
Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,Công ty Cổ phần Cao su Bến Thành,10.473.663.701,10.197.120.922,10473663701.0,10197120922.0
Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,Công ty Cổ phần Xây dựng Cao su Đồng Nai,182.632.612,185.184.497,182632612.0,185184497.0
Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,Công ty Cổ phần Lộc Thịnh,342.863.629,476.413.696,342863629.0,476413696.0
Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,Công ty Cổ phần Chỉ sợi Cao su V.R.G SA DO,(26.011.899.263),(26.605.033.044),-26011899263.0,-26605033044.0
Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,Công ty Cổ phần Chế biến gỗ Cao su Chư Pãh,5.279.630,26.451.029,5279630.0,26451029.0
Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,Công ty Cổ phần Phát triển Nông nghiệp Việt Mỹ Hà Tĩnh,-,(2.097.491),,-2097491.0
Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,Công ty Cổ phần Khu Công nghiệp Hồ Nai,(660.042),(6.174.970),-660042.0,-6174970.0
Công ty Cổ phần Cao su Đầu Tiếng Việt Lào,Công ty Cổ phần Cao su Đầu Tiếng Việt Lào,Công ty Cổ phần Cao su Đầu Tiếng Việt Lào,107.582.592,526.259.610,107582592.0,526259610.0
Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,Công ty CP Phát triển Đô thị và KCN Cao su Việt Nam,1.575.719.018,4.196.191.710,1575719018.0,4196191710.0
,,,285.453.277.353,319.423.213.015,285453277353.0,319423213015.0
