row_label_raw,row_label_full,14. Bất động sản đầu tư,01/01/2021,Từ ngày 01/01/2021 đến ngày 31/12/2021 > Tăng,Từ ngày 01/01/2021 đến ngày 31/12/2021 > Giảm,31/12/2021,numeric__01/01/2021,numeric__Từ ngày 01/01/2021 đến ngày 31/12/2021 > Tăng,numeric__Từ ngày 01/01/2021 đến ngày 31/12/2021 > Giảm,numeric__31/12/2021
a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,a. Bất động sản đầu tư cho thuê,1.476.180.958.452,1.610.642.634,-,1.477.791.601.086,1476180958452.0,1610642634.0,,1477791601086.0
Nguyên giá,Nguyên giá,Nguyên giá,2.057.205.481.486,106.814.927.948,-,2.164.020.409.434,2057205481486.0,106814927948.0,,2164020409434.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,242.026.264.360,,-,242.026.264.360,242026264360.0,,,242026264360.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.815.179.217.126,106.814.927.948,-,1.921.994.145.074,1815179217126.0,106814927948.0,,1921994145074.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,581.024.523.034,105.204.285.314,-,686.228.808.348,581024523034.0,105204285314.0,,686228808348.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,72.532.780.363,-,,72.532.780.363,72532780363.0,,,72532780363.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,508.491.742.671,105.204.285.314,,613.696.027.985,508491742671.0,105204285314.0,,613696027985.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,1.476.180.958.452,1.610.642.634,-,1.477.791.601.086,1476180958452.0,1610642634.0,,1477791601086.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,169.493.483.997,-,-,169.493.483.997,169493483997.0,,,169493483997.0
- Cơ sở hạ tầng,- Cơ sở hạ tầng,- Cơ sở hạ tầng,1.306.687.474.455,1.610.642.634,-,1.308.298.117.089,1306687474455.0,1610642634.0,,1308298117089.0
