row_label_raw,row_label_full,STT CHỈ TIÊU,Năm nay,Năm trước,numeric__Năm nay,numeric__Năm trước
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01. Mua sắm tài sản cố định,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01. Mua sắm tài sản cố định,01. Mua sắm tài sản cố định,(623.680),(736.408),-623680.0,-736408.0
"02. Tiền thu từ thanh lý, nhượng bán tài sản cố định","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02. Tiền thu từ thanh lý, nhượng bán tài sản cố định","02. Tiền thu từ thanh lý, nhượng bán tài sản cố định",16.841,7.371,16841.0,7371.0
"03. Tiền chi cho thanh lý, nhượng bán tài sản cố định","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 03. Tiền chi cho thanh lý, nhượng bán tài sản cố định","03. Tiền chi cho thanh lý, nhượng bán tài sản cố định",(2.178),(2.877),-2178.0,-2877.0
"04. Tiền thu đầu tư, góp vốn vào các đơn vị khác","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 04. Tiền thu đầu tư, góp vốn vào các đơn vị khác","04. Tiền thu đầu tư, góp vốn vào các đơn vị khác",6.200,-,6200.0,
"05. Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 05. Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn","05. Tiền thu cố tức và lợi nhuận được chia từ các khoản đầu tư, góp vốn dài hạn",87.736,83.771,87736.0,83771.0
II. Lưu chuyển tiền thuần từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II. Lưu chuyển tiền thuần từ hoạt động đầu tư,II. Lưu chuyển tiền thuần từ hoạt động đầu tư,(515.081),(648.143),-515081.0,-648143.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
01. Cố tức trả cho cố đông,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 01. Cố tức trả cho cố đông,01. Cố tức trả cho cố đông,(3.844.600),(21.267),-3844600.0,-21267.0
III. Lưu chuyển tiền thuần từ hoạt động tài chính,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III. Lưu chuyển tiền thuần từ hoạt động tài chính,III. Lưu chuyển tiền thuần từ hoạt động tài chính,(3.844.600),(21.267),-3844600.0,-21267.0
IV. Lưu chuyển tiền thuần trong năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV. Lưu chuyển tiền thuần trong năm,IV. Lưu chuyển tiền thuần trong năm,80.104.048,4.732.099,80104048.0,4732099.0
V. Tiền và các khoản tương đương tiền đầu năm,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V. Tiền và các khoản tương đương tiền đầu năm,V. Tiền và các khoản tương đương tiền đầu năm,164.376.586,160.175.076,164376586.0,160175076.0
VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,VI. Điều chỉnh ảnh hưởng của thay đổi tỷ giá,(182.414),(530.589),-182414.0,-530589.0
VII. Tiền và các khoản tương đương tiền cuối năm (Thuyết minh số 35),LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII. Tiền và các khoản tương đương tiền cuối năm (Thuyết minh số 35),VII. Tiền và các khoản tương đương tiền cuối năm (Thuyết minh số 35),244.298.220,164.376.586,244298220.0,164376586.0
