row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A.,A.,A.,TÀI SẢN,,,,,,,
I.,A. > I.,I.,"Tiền mặt, vàng bạc, đá quý",5,11.066.956,11.330.659,,5.0,11066956.0,11330659.0
II.,A. > II.,II.,Tiền gửi tại Ngân hàng Nhà nước (NHNN),6,29.727.110,23.383.443,,6.0,29727110.0,23383443.0
III.,A. > III.,III.,Tiền gửi và cho vay các TCTD khác,7,242.431.953,149.316.646,,7.0,242431953.0,149316646.0
1.,A. > 1.,1.,Tiền gửi tại các TCTD khác,,222.454.660,129.799.364,,,222454660.0,129799364.0
2.,A. > 2.,2.,Cho vay các TCTD khác,,19.977.293,19.517.282,,,19977293.0,19517282.0
IV.,A. > IV.,IV.,Chứng khoán kinh doanh,8,1.406.183,2.475.309,,8.0,1406183.0,2475309.0
1.,A. > 1.,1.,Chứng khoán kinh doanh,,1.622.967,2.522.807,,,1622967.0,2522807.0
2.,A. > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(216.784),(47.498),,,-216784.0,-47498.0
V.,A. > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,9,3.058.727,1.454.790,,9.0,3058727.0,1454790.0
VI.,A. > VI.,VI.,Cho vay khách hàng,,1.245.057.876,1.104.872.665,,,1245057876.0,1104872665.0
1.,A. > 1.,1.,Cho vay khách hàng,10,1.274.821.709,1.130.667.767,,10.0,1274821709.0,1130667767.0
2.,A. > 2.,2.,Dự phòng rủi ro cho vay khách hàng,11,(29.763.833),(25.795.102),,11.0,-29763833.0,-25795102.0
VII.,A. > VII.,VII.,Chứng khoán đầu tư,12,180.312.848,177.544.548,,12.0,180312848.0,177544548.0
1.,A. > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,12.1,178.685.028,174.973.469,,121.0,178685028.0,174973469.0
2.,A. > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,12.2,1.696.778,2.696.832,,122.0,1696778.0,2696832.0
3.,A. > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,12.4,(68.958),(125.753),,124.0,-68958.0,-125753.0
VIII.,A. > VIII.,VIII.,"Góp vốn, đầu tư dài hạn",13,3.519.441,3.290.027,,13.0,3519441.0,3290027.0
1.,A. > 1.,1.,Vốn góp liên doanh,13.1,3.303.160,3.073.356,,131.0,3303160.0,3073356.0
2.,A. > 2.,2.,Đầu tư dài hạn khác,,234.462,240.662,,,234462.0,240662.0
3.,A. > 3.,3.,Dự phòng giảm giá đầu tư dài hạn,,(18.181),(23.991),,,-18181.0,-23991.0
IX.,A. > IX.,IX.,Tài sản cố định,,10.202.191,10.496.152,,,10202191.0,10496152.0
1.,A. > 1.,1.,Tài sản cố định hữu hình,14,6.047.480,6.192.822,,14.0,6047480.0,6192822.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,16.190.830,15.773.302,,,16190830.0,15773302.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(10.143.350),(9.580.480),,,-10143350.0,-9580480.0
2.,A. > 2.,2.,Tài sản cố định vô hình,15,4.154.711,4.303.330,,15.0,4154711.0,4303330.0
a.,A. > a.,a.,Nguyên giá TSCĐ,,6.779.297,6.627.694,,,6779297.0,6627694.0
b.,A. > b.,b.,Hao mòn TSCĐ,,(2.624.586),(2.324.364),,,-2624586.0,-2324364.0
X.,A. > X.,X.,Tài sản Có khác,16,81.646.479,47.423.159,,16.0,81646479.0,47423159.0
1.,A. > 1.,1.,Các khoản phải thu,16.1,65.993.812,34.233.578,,161.0,65993812.0,34233578.0
2.,A. > 2.,2.,"Các khoản lãi, phí phải thu",,12.399.295,9.856.571,,,12399295.0,9856571.0
3.,A. > 3.,3.,Tài sản thuế TNDN hoãn lại,,-,338,,,,338.0
4.,A. > 4.,4.,Tài sản Có khác,16.2,3.314.998,3.403.230,,162.0,3314998.0,3403230.0
5.,A. > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,16.3,(61.626),(70.558),,163.0,-61626.0,-70558.0
TỔNG TÀI SẢN CÓ,A. > TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,TỔNG TÀI SẢN CÓ,,1.808.429.764,1.531.587.398,,,1808429764.0,1531587398.0
