row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phươngtiện vận tải,Thiết bịdụng cụquản lý vàTSCĐ hừuhình khác,Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phươngtiện vận tải,numeric__Thiết bịdụng cụquản lý vàTSCĐ hừuhình khác,numeric__Tổng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,8.069.230,5.582.388,1.746.676,375.008,15.773.302,8069230.0,5582388.0,1746676.0,375008.0,15773302.0
Mua sắm trong năm,Nguyên giá > Mua sắm trong năm,Mua sắm trong năm,1.180,236.311,135.403,29.212,402.106,1180.0,236311.0,135403.0,29212.0,402106.0
Đầu tư XDCB hoàn thành,Nguyên giá > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,112.765,4.266,13.278,4.551,134.860,112765.0,4266.0,13278.0,4551.0,134860.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,47.860,27.060,3.784,6.214,84.918,47860.0,27060.0,3784.0,6214.0,84918.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.843),(54.872),(73.186),(5.669),(138.570),-4843.0,-54872.0,-73186.0,-5669.0,-138570.0
Giảm khác,Nguyên giá > Giảm khác,Giảm khác,(34.532),(18.090),(9.220),(3.944),(65.786),-34532.0,-18090.0,-9220.0,-3944.0,-65786.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,8.191.660,5.777.063,1.816.735,405.372,16.190.830,8191660.0,5777063.0,1816735.0,405372.0,16190830.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.797.617,5.163.355,1.291.812,327.696,9.580.480,2797617.0,5163355.0,1291812.0,327696.0,9580480.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,279.051,234.178,153.872,30.737,697.838,279051.0,234178.0,153872.0,30737.0,697838.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(167),167,-,-,,-167.0,167.0,,
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(4.687),(50.248),(69.652),(5.668),(130.255),-4687.0,-50248.0,-69652.0,-5668.0,-130255.0
Tăng/(Giảm) khác,Giá trị hao mòn lũy kế > Tăng/(Giảm) khác,Tăng/(Giảm) khác,133,1.788,(3.253),(3.381),(4.713),133.0,1788.0,-3253.0,-3381.0,-4713.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.072.114,5.348.906,1.372.946,349.384,10.143.350,3072114.0,5348906.0,1372946.0,349384.0,10143350.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,5.119.546,428.157,443.789,55.988,6.047.480,5119546.0,428157.0,443789.0,55988.0,6047480.0
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,5.271.613,419.033,454.864,47.312,6.192.822,5271613.0,419033.0,454864.0,47312.0,6192822.0
