row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và NHNN,17,104.779.302,33.294.404,,17.0,104779302.0,33294404.0
1.,B. > 1.,1.,"Tiền gửi và vay Chính phủ, NHNN",,104.779.302,33.294.404,,,104779302.0,33294404.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,18,209.429.843,138.833.846,,18.0,209429843.0,138833846.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,18.1,139.932.528,33.670.804,,181.0,139932528.0,33670804.0
2.,B. > 2.,2.,Vay các TCTD khác,18.2,69.497.315,105.163.042,,182.0,69497315.0,105163042.0
III.,B. > III.,III.,Tiền gửi của khách hàng,19,1.249.176.034,1.161.848.113,,19.0,1249176034.0,1161848113.0
IV.,B. > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,2.392.201,2.527.930,,20.0,2392201.0,2527930.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,21,91.370.419,64.496.785,,21.0,91370419.0,64496785.0
VI.,B. > VI.,VI.,Các khoản nợ khác,,43.114.308,36.936.809,,,43114308.0,36936809.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,21.587.660,16.867.319,,,21587660.0,16867319.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,112,-,,,112.0,
3,B. > 3,3,Các khoản phải trả và công nợ khác,22,20.487.746,19.015.117,,22.0,20487746.0,19015117.0
4,B. > 4,4,Dự phòng rủi ro khác,,1.038.790,1.054.373,,,1038790.0,1054373.0
,,,TỔNG NỘ PHẢI TRẢ,,1.700.262.107,1.437.937.887,,,1700262107.0,1437937887.0
VII.,B. > VII.,VII.,Vốn và các quỹ,24,108.167.657,93.649.511,,24.0,108167657.0,93649511.0
1.,B. > 1.,1.,Vốn của TCTD,,57.868.215,57.548.112,,,57868215.0,57548112.0
a.,B. > a.,a.,Vốn điều lệ,,48.057.506,48.057.506,,,48057506.0,48057506.0
b.,B. > b.,b.,Thặng dư vốn cổ phần,,8.974.677,8.974.698,,,8974677.0,8974698.0
c.,B. > c.,c.,Vốn khác,,836.032,515.908,,,836032.0,515908.0
2.,B. > 2.,2.,Quỹ của TCTD,,16.074.632,13.673.265,,,16074632.0,13673265.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,120.993,245.231,,,120993.0,245231.0
4.,B. > 4.,4.,Lợi nhuận sau thuế chưa phân phối,,33.364.370,21.488.131,,,33364370.0,21488131.0
5.,B. > 5.,5.,Lợi ích của cổ đông không kiểm soát,,739.447,694.772,,,739447.0,694772.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,B. > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,1.808.429.764,1.531.587.398,,,1808429764.0,1531587398.0
