row_label_raw,row_label_full,col_0,Quá hạn,Quá hạn_1,Quá hạn_2,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Trong hạn_5,Tổng,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Quá hạn_2,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Trong hạn_5,numeric__Tổng
,,,Không chịu lãi,Trên 3 tháng,Đến 3 tháng,Đến 01 tháng,Từ 01-03 tháng,Từ 03-06 tháng,Từ 06 -12 tháng,Từ 01-05 năm,Trên 05 năm,Tổng,,,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",11.066.956,-,-,-,-,-,-,-,-,11.066.956,11066956.0,,,,,,,,,11066956.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,29.727.110,-,-,-,-,-,-,-,-,29.727.110,29727110.0,,,,,,,,,29727110.0
Tiền gửi và cho vay các TCTD khác (*),Tài sản > Tiền gửi và cho vay các TCTD khác (*),Tiền gửi và cho vay các TCTD khác (*),-,-,-,196.312.394,24.250.987,14.012.418,7.856.154,-,-,242.431.953,,,,196312394.0,24250987.0,14012418.0,7856154.0,,,242431953.0
Chứng khoán kinh doanh (*),Tài sản > Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),-,-,-,1.622.967,-,-,-,-,-,1.622.967,,,,1622967.0,,,,,,1622967.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,3.058.727,-,-,-,-,-,3.058.727,,,,3058727.0,,,,,,3058727.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),-,15.800.980,29.958.469,422.410.045,378.705.289,317.631.746,75.270.548,34.177.691,866.941,1.274.821.709,,15800980.0,29958469.0,422410045.0,378705289.0,317631746.0,75270548.0,34177691.0,866941.0,1274821709.0
Chứng khoán đầu tư (*),Tài sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),4.535.179,-,-,476.669,14.471.493,21.581.986,27.927.525,39.960.681,71.428.273,180.381.806,4535179.0,,,476669.0,14471493.0,21581986.0,27927525.0,39960681.0,71428273.0,180381806.0
