row_label_raw,row_label_full,STT,CHỈ TIÊU,Dịch vụ tài chính ngân hàng > Triệu VND,Dịch vụ tài chính phi ngân hàng > Triệu VND,Khác > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Dịch vụ tài chính ngân hàng > Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Doanh thu,127.376.035,4.030.025,2.010.249,(490.732),132.925.577,,127376035.0,4030025.0,2010249.0,-490732.0,132925577.0
1.,1.,1.,Doanh thu lãi,103.781.428,638.519,385.758,(141.071),104.664.634,,103781428.0,638519.0,385758.0,-141071.0,104664634.0
,,,- Doanh thu lãi từ khách hàng bên ngoài,103.674.509,607.546,382.579,-,104.664.634,,103674509.0,607546.0,382579.0,,104664634.0
,,,- Doanh thu lãi từ khách hàng nội bộ,106.919,30.973,3.179,(141.071),-,,106919.0,30973.0,3179.0,-141071.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,8.448.092,3.339.378,6.809,(245.210),11.549.069,,8448092.0,3339378.0,6809.0,-245210.0,11549069.0
3.,3.,3.,Thu nhập từ hoạt động kinh doanh khác,15.146.515,52.128,1.617.682,(104.451),16.711.874,,15146515.0,52128.0,1617682.0,-104451.0,16711874.0
II.,II.,II.,Chi phí,(82.656.482),(3.585.287),(1.944.475),369.903,(87.816.341),,-82656482.0,-3585287.0,-1944475.0,369903.0,-87816341.0
1.,1.,1.,Chi phí lãi,(56.662.181),(151.593),(199.976),141.071,(56.872.679),,-56662181.0,-151593.0,-199976.0,141071.0,-56872679.0
,,,- Chi phí lãi từ khách hàng bên ngoài,(56.617.204),(55.500),(199.976),1,(56.872.679),,-56617204.0,-55500.0,-199976.0,1.0,-56872679.0
,,,- Chi phí lãi từ khách hàng nội bộ,(44.977),(96.093),-,141.070,-,,-44977.0,-96093.0,,141070.0,
2.,2.,2.,Chi phí khấu hao TSCĐ,(938.414),(13.649),(8.611),-,(960.674),,-938414.0,-13649.0,-8611.0,,-960674.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(25.055.887),(3.420.045),(1.735.888),228.832,(29.982.988),,-25055887.0,-3420045.0,-1735888.0,228832.0,-29982988.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,44.719.553,444.738,65.774,(120.829),45.109.236,,44719553.0,444738.0,65774.0,-120829.0,45109236.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(24.180.014),(34.249),636,50.450,(24.163.177),,-24180014.0,-34249.0,636.0,50450.0,-24163177.0
Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,Kết quả kinh doanh bộ phận trước thuế,20.539.539,410.489,66.410,(70.379),20.946.059,,20539539.0,410489.0,66410.0,-70379.0,20946059.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,(3.993.274),(82.865),(34.925),(1),(4.111.065),,-3993274.0,-82865.0,-34925.0,-1.0,-4111065.0
Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,Kết quả kinh doanh bộ phận sau thuế,16.546.265,327.624,31.485,(70.380),16.834.994,,16546265.0,327624.0,31485.0,-70380.0,16834994.0
III.,III.,III.,Tài sản,1.799.013.299,11.061.581,5.223.901,(6.869.017),1.808.429.764,,1799013299.0,11061581.0,5223901.0,-6869017.0,1808429764.0
1.,1.,1.,Tiền mặt,11.041.493,662,24.801,-,11.066.956,,11041493.0,662.0,24801.0,,11066956.0
2.,2.,2.,Tài sản cố định,10.071.718,86.605,43.868,-,10.202.191,,10071718.0,86605.0,43868.0,,10202191.0
3.,3.,3.,Tài sản khác,1.777.900.088,10.974.314,5.155.232,(6.869.017),1.787.160.617,,1777900088.0,10974314.0,5155232.0,-6869017.0,1787160617.0
IV.,IV.,IV.,Nợ phải trả,1.693.515.553,7.759.337,3.506.204,(4.518.987),1.700.262.107,,1693515553.0,7759337.0,3506204.0,-4518987.0,1700262107.0
1.,1.,1.,Nợ phải trả bên ngoài,1.688.548.839,7.638.631,3.472.063,(4.518.987),1.695.140.546,,1688548839.0,7638631.0,3472063.0,-4518987.0,1695140546.0
2.,2.,2.,Nợ phải trả nội bộ,4.966.714,120.706,34.141,-,5.121.561,,4966714.0,120706.0,34141.0,,5121561.0
