row_label_raw,row_label_full,CHỈ TIÊU,EUR quy đổi > Triệu VND,USD quy đổi > Triệu VND,Các ngoại tệ khácđược quy đổi > Triệu VND,Tổng > Triệu VND,numeric__EUR quy đổi > Triệu VND,numeric__USD quy đổi > Triệu VND,numeric__Các ngoại tệ khácđược quy đổi > Triệu VND,numeric__Tổng > Triệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",195.379,790.018,162.669,1.148.066,195379.0,790018.0,162669.0,1148066.0
Tiền gửi tại NHNN,Tài sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,19.792,291.249,-,311.041,19792.0,291249.0,,311041.0
Tiền gửi tại và cho vay các TCTD khác (*),Tài sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),896.258,89.414.196,35.908.587,126.219.041,896258.0,89414196.0,35908587.0,126219041.0
Công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và các tài sản tài chính khác,Công cụ tài chính phải sinh và các tài sản tài chính khác,-,847.548,-,847.548,,847548.0,,847548.0
Cho vay khách hàng (*),Tài sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.944.552,70.959.432,1.811.302,78.715.286,5944552.0,70959432.0,1811302.0,78715286.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,33.551,-,172.895,206.446,33551.0,,172895.0,206446.0
Tài sản Có khác (*),Tài sản > Tài sản Có khác (*),Tài sản Có khác (*),1.686.861,25.814.210,84.927,27.585.998,1686861.0,25814210.0,84927.0,27585998.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.776.393,188.116.653,38.140.380,235.033.426,8776393.0,188116653.0,38140380.0,235033426.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,574.833,109.365.505,1.821.160,111.761.498,574833.0,109365505.0,1821160.0,111761498.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,2.895.389,65.360.358,1.721.033,69.976.780,2895389.0,65360358.0,1721033.0,69976780.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,1.192.089,11.761.382,34.539.771,47.493.242,1192089.0,11761382.0,34539771.0,47493242.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả và vốn chủ sở hữu > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,1.886.953,-,1.886.953,,1886953.0,,1886953.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,184,-,184,,184.0,,184.0
Các khoản nợ khác (*),Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác (*),Các khoản nợ khác (*),3.896.019,955.421,22.750,4.874.190,3896019.0,955421.0,22750.0,4874190.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,8.558.330,189.329.803,38.104.714,235.992.847,8558330.0,189329803.0,38104714.0,235992847.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,218.063,(1.213.150),35.666,(959.421),218063.0,-1213150.0,35666.0,-959421.0
