row_label_raw,row_label_full,STT,CHỈ TIÊU,Miền Bắc (*) > Triệu VND,Miền Nam > Triệu VND,Khác > Triệu VND,Điều chỉnh > Triệu VND,Tổng cộng > Triệu VND,numeric__CHỈ TIÊU,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Khác > Triệu VND,numeric__Điều chỉnh > Triệu VND,numeric__Tổng cộng > Triệu VND
I.,I.,I.,Kết quả kinh doanh bộ phận trước thuế,2.814.503,13.715.260,4.486.674,(70.378),20.946.059,,2814503.0,13715260.0,4486674.0,-70378.0,20946059.0
I.,I.,I.,Chi phí thuế TNDN,(4.096.587),(3.110),(11.368),,(4.111.065),,-4096587.0,-3110.0,-11368.0,,-4111065.0
II.,II.,II.,Kết quả kinh doanh bộ phận sau thuế,(1.282.084),13.712.150,4.475.306,(70.378),16.834.994,,-1282084.0,13712150.0,4475306.0,-70378.0,16834994.0
III.,III.,III.,Tài sản bộ phận,1.075.845.597,545.159.248,194.293.938,(6.869.019),1.808.429.764,,1075845597.0,545159248.0,194293938.0,-6869019.0,1808429764.0
IV.,IV.,IV.,Nợ phải trả bộ phận,984.572.621,531.309.210,188.899.263,(4.518.987),1.700.262.107,,984572621.0,531309210.0,188899263.0,-4518987.0,1700262107.0
