row_label_raw,row_label_full,Các chỉ tiêu ngoài Báo cáo tình hìnhtài chính hợp nhất,Số đã báo cáotrên báo cáo tài chính hợp nhấtcho năm tài chínhkết thúc ngày31/12/2021 > Triệu VND,Trình bày bổ sung theoThông tư 27 > Triệu VND,Số báo cáotrên báo cáo tài chính hợp nhấtcho năm tài chínhkết thúc ngày31/12/2022 > Triệu VND,numeric__Số đã báo cáotrên báo cáo tài chính hợp nhấtcho năm tài chínhkết thúc ngày31/12/2021 > Triệu VND,numeric__Trình bày bổ sung theoThông tư 27 > Triệu VND,numeric__Số báo cáotrên báo cáo tài chính hợp nhấtcho năm tài chínhkết thúc ngày31/12/2022 > Triệu VND
Lãi cho vay và phí phải thu chưa thuđược,Lãi cho vay và phí phải thu chưa thuđược,Lãi cho vay và phí phải thu chưa thuđược,Không trình bày,7.904.314,7.904.314,,7904314.0,7904314.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Không trình bày,95.202.933,95.202.933,,95202933.0,95202933.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,Không trình bày,111.165.425,111.165.425,,111165425.0,111165425.0
