row_label_raw,row_label_full,Họ tên,Chức danh,Ngày bổ nhiệm/miễn nhiệm,Năm nay,Năm trước,numeric__Chức danh,numeric__Ngày bổ nhiệm/miễn nhiệm,numeric__Năm nay,numeric__Năm trước
,,,,,Triệu VND,Triệu VND,,,,
BAN ĐIỀU HÀNH,BAN ĐIỀU HÀNH,BAN ĐIỀU HÀNH,,,11.953,11.427,,,11953.0,11427.0
Ông Nguyễn HoàngDũng,Ông Nguyễn HoàngDũng,Ông Nguyễn HoàngDũng,Phó Tổng Giám đốcphụ trách Ban Điều hành,,2.368,2.167,,,2368.0,2167.0
Ông Nguyễn Trần MạnhTrung,Ông Nguyễn Trần MạnhTrung,Ông Nguyễn Trần MạnhTrung,Phó Tổng Giám đốc,Bố nhiệm ngày 12tháng 5 năm 2022,1.166,-,,,1166.0,
Ông Lê Duy Hải,Ông Lê Duy Hải,Ông Lê Duy Hải,Phó Tổng Giám đốc,Bố nhiệm ngày 09tháng 5 năm 2022,1.067,-,,,1067.0,
Ông Hoàng NgọcPhương,Ông Hoàng NgọcPhương,Ông Hoàng NgọcPhương,Phó Tổng Giám đốc,Bố nhiệm ngày 12tháng 5 năm 2022,982,-,,,982.0,
Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Ông Đỗ Thanh Sơn,Phó Tổng Giám đốc,Bố nhiệm ngày 11tháng 10 năm 2022,420,-,,,420.0,
Ông Trần Công QuỳnhLân,Ông Trần Công QuỳnhLân,Ông Trần Công QuỳnhLân,Phó Tổng Giám đốc,,2.262,2.174,,,2262.0,2174.0
Ông Nguyễn Đình VinhBà Lê Như Hoa,Ông Nguyễn Đình VinhBà Lê Như Hoa,Ông Nguyễn Đình VinhBà Lê Như Hoa,Phó Tổng Giám đốc,,1.921,1.838,,,1921.0,1838.0
Ông Nguyễn Đình VinhBà Lê Như Hoa,Ông Nguyễn Đình VinhBà Lê Như Hoa,Ông Nguyễn Đình VinhBà Lê Như Hoa,Phó Tổng Giám đốc,,1.768,1.704,,,1768.0,1704.0
Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Ông Nguyễn Đức Thành,Phó Tổng Giám đốc,Miễn nhiệm ngày 04tháng 5 năm 2022,-,1.841,,,,1841.0
Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Bà Nguyễn Hồng Vân,Phó Tổng Giám đốc,Miễn nhiệm ngày 03tháng 11 năm 2021,-,1.703,,,,1703.0
