row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2018,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2018,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2018,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2018,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2018,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2018,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2018
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mắt, vàng bạc, đá quý","Tài sản > Tiền mắt, vàng bạc, đá quý","Tiền mắt, vàng bạc, đá quý",-,-,6.129.164,-,-,-,-,6.129.164,,,6129164.0,,,,,6129164.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,-,10.683.536,-,-,-,-,10.683.536,,,10683536.0,,,,,10683536.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,11.873.067,6.581.461,108.000,227.612,68.900,19.259.040,400000.0,,11873067.0,6581461.0,108000.0,227612.0,68900.0,19259040.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,899.577,-,-,-,-,899.577,,,899577.0,,,,,899577.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.487.449,533.266,13.582.866,29.863.024,77.355.293,25.094.970,79.842.254,227.759.122,1487449.0,533266.0,13582866.0,29863024.0,77355293.0,25094970.0,79842254.0,227759122.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,3.343.824,1.966.533,100.356,30.134.349,18.251.224,53.796.286,,,3343824.0,1966533.0,100356.0,30134349.0,18251224.0,53796286.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,2.301.127,2.301.127,,,,,,,2301127.0,2301127.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,3.162.339,3.162.339,,,,,,,3162339.0,3162339.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),250.549,-,7.229.419,-,74.060,593.070,750.658,8.897.756,250549.0,,7229419.0,,74060.0,593070.0,750658.0,8897756.0
