row_label_raw,row_label_full,Tại ngày 31 tháng 12năm 2019,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3đến 6 tháng,Từ trên 6đến 12 tháng,Từ trên 1đến 5 năm,Trên 5 năm,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3đến 6 tháng,numeric__Từ trên 6đến 12 tháng,numeric__Từ trên 1đến 5 năm,numeric__Trên 5 năm
Tải sản,Tải sản,Tải sản,,,,,,,,,,,,
Tiền gửi và cho vay cáctổ chức tín dụng khác,Tiền gửi và cho vay cáctổ chức tín dụng khác,Tiền gửi và cho vay cáctổ chức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 4,50%","3,50% - 7,50%","3,70% - 4,00%",(*),(*),"5,10% - 5,50%",,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 2,00%","1,50% - 2,80%",(*),(*),(*),(*),,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"6,55% - 29,00%","0,60% - 22,22%","5,92% - 24,00%","4,50% - 25,85%","1,77% - 28,52%","4,91% - 12,50%",,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"1,00% - 5,60%","3,00% - 11,60%","3,40% - 5,50%","3,70% - 7,50%",(*),(*),,,,,,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),(*),"2,90% - 6,60%","3,40% - 11,50%",,,,,,
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"8,30% - 8,60%",(*),(*),,,,,,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,
Tiền gửi và vay các tổchức tín dụng khác,Tiền gửi và vay các tổchức tín dụng khác,Tiền gửi và vay các tổchức tín dụng khác,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 4,10%","3,50% - 6,30%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ Ngoại tệ,▪ Ngoại tệ,"0,00% - 1,70%","1,60% - 1,90%",(*),(*),(*),(*),,,,,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,"0,00% - 6,80%","0,00% - 5,50%","0,00% - 8,10%","0,00% - 7,70%","0,00% - 8,30%",(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,"0,00%","0,00% - 0,10%","0,00%","0,00%","0,00%",(*),0.0,,0.0,0.0,0.0,
"Vốn tài trợ, ủy thác đầutư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầutư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầutư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),"5,00% - 5,18%",(*),(*),(*),(*),,,,,,
▪ Ngoại tệ,▪ VND > ▪ Ngoại tệ,▪ Ngoại tệ,(*),(*),(*),(*),(*),"1,91%",,,,,,0.0191
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,,,,,,,,,,,,
▪ VND,▪ VND,▪ VND,(*),(*),(*),"6,00% - 8,80%","6,00% - 7,10%","7,35% - 8,50%",,,,,,
