row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Tại ngày > 31.12.2019 Triệu VND,Tại ngày > 31.12.2018 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Tại ngày > 31.12.2019 Triệu VND,numeric__Tại ngày > 31.12.2018 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,13,-,3.074.100,,13.0,,3074100.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,14,19.200.683,20.752.147,,14.0,19200683.0,20752147.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,16.691.060,17.207.569,,,16691060.0,17207569.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,2.509.623,3.544.578,,,2509623.0,3544578.0
III,B > III,III,Tiền gửi của khách hàng,15,308.493.813,270.472.983,,15.0,308493813.0,270472983.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,16,-,38.198,,16.0,,38198.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",17,156.147,160.093,,17.0,156147.0,160093.0
VI,B > VI,VI,Phát hành giấy tờ có giá,18,20.329.836,7.416.918,,18.0,20329836.0,7416918.0
VII,B > VII,VII,Các khoản nợ khác,,7.375.838,5.972.537,,,7375838.0,5972537.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,4.359.384,3.389.358,,,4359384.0,3389358.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,3.016.454,2.583.179,,19.0,3016454.0,2583179.0
,,,TỔNG NỘ PHẢI TRẢ,,355.556.317,307.886.976,,,355556317.0,307886976.0
VIII,B > VIII,VIII,VỐN CHỦ SỞ HỮU,20,27.329.301,20.674.058,,20.0,27329301.0,20674058.0
1,B > 1,1,Vốn của tổ chức tín dụng,,16.799.171,12.220.152,,,16799171.0,12220152.0
a,B > a,a,Vốn điều lệ,,16.627.373,12.885.877,,,16627373.0,12885877.0
c,B > c,c,Thặng dư vốn cổ phần,,271.779,-,,,271779.0,
d,B > d,d,Cổ phiếu quỹ,,(99.981),(665.725),,,-99981.0,-665725.0
2,B > 2,2,Quỹ của tổ chức tín dụng,20.1,4.257.051,3.369.394,,201.0,4257051.0,3369394.0
5,B > 5,5,Lợi nhuận chưa phân phối,20.1,6.273.079,5.084.512,,201.0,6273079.0,5084512.0
a,B > a,a,Lợi nhuận năm nay,,5.030.063,4.355.668,,,5030063.0,4355668.0
b,B > b,b,Lợi nhuận lũy kế năm trước,,1.243.016,728.844,,,1243016.0,728844.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,27.329.301,20.674.058,,,27329301.0,20674058.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,382.885.618,328.561.034,,,382885618.0,328561034.0
