row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2019,Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2019,Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2019,Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2019,Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Trên 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Quá hạn > Đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Đến 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 1 tháng đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 3 tháng đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Từ trên 1 năm đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trong hạn > Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Đơn vị: Triệu VND > Tổng cộng > Ngày 31 tháng 12 năm 2019
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,
"Tiền mặt vàng bạc, đá quý","Tài sản > Tiền mặt vàng bạc, đá quý","Tiền mặt vàng bạc, đá quý",-,-,6.437.803,-,-,-,-,6.437.803,,,6437803.0,,,,,6437803.0
Tiền gửi cại Ngân hàng Nhà nước,Tài sản > Tiền gửi cại Ngân hàng Nhà nước,Tiền gửi cại Ngân hàng Nhà nước,-,-,10.420.306,-,-,-,-,10.420.306,,,10420306.0,,,,,10420306.0
Tiền gửi cại và cho vay các TCTD khác (i),Tài sản > Tiền gửi cại và cho vay các TCTD khác (i),Tiền gửi cại và cho vay các TCTD khác (i),400.000,-,17.953.740,11.920.366,25.487,411.082,141.900,30.852.575,400000.0,,17953740.0,11920366.0,25487.0,411082.0,141900.0,30852575.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,-,2.792.425,-,-,-,-,2.792.425,,,2792425.0,,,,,2792425.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,87.753,-,-,-,-,87.753,,,87753.0,,,,,87753.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.353.057,576.520,13.156.003,33.989.145,96.430.504,26.484.936,93.991.321,265.981.486,1353057.0,576520.0,13156003.0,33989145.0,96430504.0,26484936.0,93991321.0,265981486.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,-,1.208.156,249.766,4.478.368,32.553.333,17.933.402,56.423.025,,,1208156.0,249766.0,4478368.0,32553333.0,17933402.0,56423025.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,-,-,-,-,-,2.243.027,2.243.027,,,,,,,2243027.0,2243027.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,-,-,-,-,-,3.713.599,3.713.599,,,,,,,3713599.0,3713599.0
Tài sản Có khác (i),Tài sản > Tài sản Có khác (i),Tài sản Có khác (i),272.893,-,6.908.602,-,63.178,742.090,527.478,8.514.241,272893.0,,6908602.0,,63178.0,742090.0,527478.0,8514241.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,2.025.950,576.520,58.964.788,46.159.277,100.997.537,60.191.441,118.550.727,387.466.240,2025950.0,576520.0,58964788.0,46159277.0,100997537.0,60191441.0,118550727.0,387466240.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
