row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2019Triệu VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm > 2018Triệu VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 01,01,"Mua sắm tài sản cố định (""TSCĐ"")",,(534.219),(358.247),,,-534219.0,-358247.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 02,02,"Tiền thu từ thanh lý, nhượng bán TSCĐ",,22.133,24.616,,,22133.0,24616.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 08,08,"Tiền thu đầu tư, góp vốn vào các đơn vị khác",,58.100,34.000,,,58100.0,34000.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > 09,09,"Tiền thu cổ tức và lợi nhuận được chia từ các khoản đầu tư,góp vốn dài hạn",,34.030,158.984,,,34030.0,158984.0
II,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TƯ > II,II,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG ĐẦU TƯ,(419.956),(140.647),,,-419956.0,-140647.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 02,02,Tiền thu từ phát hành giấy tờ có giá dài hạn có đủ điều kiện tínhvào vốn tự có và các khoản vốn vay dài hạn khác,,196.000,2.167.000,,,196000.0,2167000.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 03,03,Tiền chi thanh toán giấy tờ có giá dài hạn có đủ điều kiện tínhvào vốn tự có và các khoản vốn vay dài hạn khác,,-,(3.000.000),,,,-3000000.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 04,04,Lợi nhuận đã chia,20.1(ii),-,(100.000),,,,-100000.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 06,06,Tiền thu được do bán cổ phiếu quỹ,,837.523,-,,,837523.0,
III,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > III,III,LU'U CHUYÊN TIÊN THUÀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,1.033.523,(933.000),,,1033523.0,-933000.0
IV,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > IV,IV,LU'U CHUYÊN TIÊN THUÀN TRONG NĂM,,6.337.211,10.729.613,,,6337211.0,10729613.0
V,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > V,V,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM ĐẦU NĂM,,29.340.686,18.611.073,,,29340686.0,18611073.0
VII,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > VII,VII,TIÊN VÀ CÁC KHOÀN TƯƠNG ĐƯƠNG TIÊN TẠI THỜI ĐIỂM CUỐI NĂM,33,35.677.897,29.340.686,,33.0,35677897.0,29340686.0
