row_label_raw,row_label_full,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
7.517.753,7.517.753,7.517.753,3.299.246,46.629.495,(33.679.850),23.766.644,3299246.0,46629495.0,-33679850.0,23766644.0
3.924.860,3.924.860,3.924.860,2.485.896,17.355.888,-,23.766.644,2485896.0,17355888.0,,23766644.0
3.592.893,3.592.893,3.592.893,813.350,29.273.607,(33.679.850),-,813350.0,29273607.0,-33679850.0,
187.859,187.859,187.859,84.586,1.606.117,-,1.878.562,84586.0,1606117.0,,1878562.0
217.851,217.851,217.851,18.694,2.194.001,-,2.430.546,18694.0,2194001.0,,2430546.0
(5.744.423),(5.744.423),(5.744.423),(2.465.467),(39.076.350),33.679.850,(13.606.390),-2465467.0,-39076350.0,33679850.0,-13606390.0
(2.657.748),(2.657.748),(2.657.748),(593.278),(10.355.364),-,(13.606.390),-593278.0,-10355364.0,,-13606390.0
(3.086.675),(3.086.675),(3.086.675),(1.872.189),(28.720.986),33.679.850,-,-1872189.0,-28720986.0,33679850.0,
(16.939),(16.939),(16.939),(9.829),(264.924),-,(291.692),-9829.0,-264924.0,,-291692.0
(979.204),(979.204),(979.204),(504.155),(5.440.350),-,(6.923.709),-504155.0,-5440350.0,,-6923709.0
1.182.897,1.182.897,1.182.897,423.075,5.647.989,-,7.253.961,423075.0,5647989.0,,7253961.0
(96.495),(96.495),(96.495),(86.603),(717.905),-,(901.003),-86603.0,-717905.0,,-901003.0
1.086.402,1.086.402,1.086.402,336.472,4.930.084,-,6.352.958,336472.0,4930084.0,,6352958.0
