row_label_raw,row_label_full,col_0,Năm 2019 > Miền BắcTriệu VND,Năm 2019 > Miền TrungTriệu VND,Năm 2019 > Miền NamTriệu VND,Năm 2019 > Loại trừTriệu VND,Năm 2019 > TổngTriệu VND,numeric__Năm 2019 > Miền BắcTriệu VND,numeric__Năm 2019 > Miền TrungTriệu VND,numeric__Năm 2019 > Miền NamTriệu VND,numeric__Năm 2019 > Loại trừTriệu VND,numeric__Năm 2019 > TổngTriệu VND
Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,Doanh thu,,,,,
1. Doanh thu lãi,Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,8.622.514,4.195.127,54.952.191,(39.701.606),28.068.226,8622514.0,4195127.0,54952191.0,-39701606.0,28068226.0
Doanh thu lãi từ khách hàng bên ngoài,Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,4.364.851,3.203.292,20.500.083,-,28.068.226,4364851.0,3203292.0,20500083.0,,28068226.0
Doanh thu lãi từ nội bộ,Doanh thu > Doanh thu lãi từ nội bộ,Doanh thu lãi từ nội bộ,4.257.663,991.835,34.452.108,(39.701.606),-,4257663.0,991835.0,34452108.0,-39701606.0,
2. Doanh thu từ hoạt động dịch vụ,Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,229.593,92.033,2.262.291,-,2.583.917,229593.0,92033.0,2262291.0,,2583917.0
3. Doanh thu từ hoạt động kinh doanh khác,Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,306.790,22.738,1.785.369,-,2.114.897,306790.0,22738.0,1785369.0,,2114897.0
Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,Chi phí,,,,,
1. Chi phí lãi,Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(6.680.559),(3.104.274),(46.090.600),39.701.606,(16.173.827),-6680559.0,-3104274.0,-46090600.0,39701606.0,-16173827.0
Chi phí lãi khách hàng bên ngoài,Chi phí > Chi phí lãi khách hàng bên ngoài,Chi phí lãi khách hàng bên ngoài,(3.138.960),(677.528),(12.357.339),-,(16.173.827),-3138960.0,-677528.0,-12357339.0,,-16173827.0
Chi phí lãi nội bộ,Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(3.541.599),(2.426.746),(33.733.261),39.701.606,-,-3541599.0,-2426746.0,-33733261.0,39701606.0,
2. Chi phí khấu hao tài sản cố định,Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(22.434),(13.730),(292.981),-,(329.145),-22434.0,-13730.0,-292981.0,,-329145.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(1.144.538),(602.925),(6.888.808),-,(8.636.271),-1144538.0,-602925.0,-6888808.0,,-8636271.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Chi phí > Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,1.311.366,588.969,5.727.462,-,7.627.797,1311366.0,588969.0,5727462.0,,7627797.0
Chi phí dự phòng rủi ro,Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(74.045),(84.572),(79.479),-,(238.096),-74045.0,-84572.0,-79479.0,,-238096.0
Kết quả kinh doanh bộ phận,Chi phí > Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,1.237.321,504.397,5.647.983,-,7.389.701,1237321.0,504397.0,5647983.0,,7389701.0
