row_label_raw,row_label_full,col_0,Trụ sở làm việc Triệu VND,Thiết bị văn phòng Triệu VND,Phương tiện vận chuyển Triệu VND,Tài sản cố định khác Triệu VND,Tổng cộng Triệu VND,numeric__Trụ sở làm việc Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng cộng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Tại ngày 1 tháng 1 năm 2019,Nguyên giá > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,2.378.116,1.419.513,345.701,165.617,4.308.947,2378116.0,1419513.0,345701.0,165617.0,4308947.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,4.248,188.547,55.711,4.332,252.838,4248.0,188547.0,55711.0,4332.0,252838.0
Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,129.271,-,16,-,129.287,129271.0,,16.0,,129287.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(18.054),(14.111),(18.496),(9.110),(59.771),-18054.0,-14111.0,-18496.0,-9110.0,-59771.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(293),1.865,(1.125),(447),-,-293.0,1865.0,-1125.0,-447.0,
Tại ngày 31 tháng 12 năm 2019,Nguyên giá > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.493.288,1.595.814,381.807,160.392,4.631.301,2493288.0,1595814.0,381807.0,160392.0,4631301.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,
Tại ngày 1 tháng 1 năm 2019,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,407.077,944.863,216.926,144.413,1.713.279,407077.0,944863.0,216926.0,144413.0,1713279.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,61.820,171.075,34.244,12.473,279.612,61820.0,171075.0,34244.0,12473.0,279612.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(3.541),(13.934),(17.218),(8.987),(43.680),-3541.0,-13934.0,-17218.0,-8987.0,-43680.0
Phân loại lại,Khấu hao lũy kế > Phân loại lại,Phân loại lại,-,389,(2),(387),-,,389.0,-2.0,-387.0,
Tại ngày 31 tháng 12 năm 2019,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,465.356,1.102.393,233.950,147.512,1.949.211,465356.0,1102393.0,233950.0,147512.0,1949211.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 1 tháng 1 năm 2019,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2019,Tại ngày 1 tháng 1 năm 2019,1.971.039,474.650,128.775,21.204,2.595.668,1971039.0,474650.0,128775.0,21204.0,2595668.0
Tại ngày 31 tháng 12 năm 2019,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2019,Tại ngày 31 tháng 12 năm 2019,2.027.932,493.421,147.857,12.880,2.682.090,2027932.0,493421.0,147857.0,12880.0,2682090.0
