row_label_raw,row_label_full,col_0,2019Triệu VND,2018Triệu VNDPhân loại lại,numeric__2019Triệu VND,numeric__2018Triệu VNDPhân loại lại
"Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí","Chi nộp thuế và các khoản phí, lệ phí",13.129,13.365,13129.0,13365.0
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,3.660.452,3.105.378,3660452.0,3105378.0
- Chi lương và phụ cấp (i),- Chi lương và phụ cấp (i),- Chi lương và phụ cấp (i),1.566.936,1.517.690,1566936.0,1517690.0
- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,- Các khoản chi đóng góp theo lương,334.694,318.993,334694.0,318993.0
- Chi trợ cấp,- Chi trợ cấp,- Chi trợ cấp,10.195,5.472,10195.0,5472.0
- Chi khác cho nhân viên (i),- Chi khác cho nhân viên (i),- Chi khác cho nhân viên (i),1.748.627,1.263.223,1748627.0,1263223.0
Chi về tài sản,Chi về tài sản,Chi về tài sản,1.623.948,1.357.314,1623948.0,1357314.0
- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,- Chi phí khấu hao tài sản cố định,329.145,291.692,329145.0,291692.0
- Chi khác,- Chi khác,- Chi khác,1.294.803,1.065.622,1294803.0,1065622.0
Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,Chi cho hoạt động quản lý,2.243.052,1.910.112,2243052.0,1910112.0
"Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng","Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",330.101,302.316,330101.0,302316.0
Chi phí dự phòng (ii),Chi phí dự phòng (ii),Chi phí dự phòng (ii),278.486,(147.357),278486.0,-147357.0
,,,8.149.168,6.541.128,8149168.0,6541128.0
