row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2019,Quả hạn > Ngày 31 tháng 12 năm 2019,Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,Trên 5 năm > Ngày 31 tháng 12 năm 2019,Tổng cộng > Ngày 31 tháng 12 năm 2019,numeric__Quả hạn > Ngày 31 tháng 12 năm 2019,numeric__Không chịu lãi suất > Ngày 31 tháng 12 năm 2019,numeric__Dưới 1 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ 1 đến 3 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 3 đến 6 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 6 đến 12 tháng > Ngày 31 tháng 12 năm 2019,numeric__Từ trên 1 đến 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Trên 5 năm > Ngày 31 tháng 12 năm 2019,numeric__Tổng cộng > Ngày 31 tháng 12 năm 2019
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỳ","Tài sản > Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",-,6.437.803,-,-,-,-,-,-,6.437.803,,6437803.0,,,,,,,6437803.0
Tiền gửi tại Ngân hàng Nhà nước,Tài sản > Tiền gửi tại Ngân hàng Nhà nước,Tiền gửi tại Ngân hàng Nhà nước,-,10.420.306,-,-,-,-,-,-,10.420.306,,10420306.0,,,,,,,10420306.0
Tiền gửi tại và cho vay các TCTD khác (i),Tài sản > Tiền gửi tại và cho vay các TCTD khác (i),Tiền gửi tại và cho vay các TCTD khác (i),400.000,-,13.745.755,14.850.493,1.795.327,-,-,61.000,30.852.575,400000.0,,13745755.0,14850493.0,1795327.0,,,61000.0,30852575.0
Chứng khoán kinh doanh (i),Tài sản > Chứng khoán kinh doanh (i),Chứng khoán kinh doanh (i),-,2.792.425,-,-,-,-,-,-,2.792.425,,2792425.0,,,,,,,2792425.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,87.753,-,-,-,-,-,-,87.753,,87753.0,,,,,,,87753.0
Cho vay khách hàng (i),Tài sản > Cho vay khách hàng (i),Cho vay khách hàng (i),1.929.577,-,2.420.454,251.494.499,6.401.472,2.947.811,484.297,303.376,265.981.486,1929577.0,,2420454.0,251494499.0,6401472.0,2947811.0,484297.0,303376.0,265981486.0
Chứng khoán đầu tư (i),Tài sản > Chứng khoán đầu tư (i),Chứng khoán đầu tư (i),-,708.161,-,-,-,-,25.221.860,30.493.004,56.423.025,,708161.0,,,,,25221860.0,30493004.0,56423025.0
"Góp vốn, đầu tư dài hạn (i)","Tài sản > Góp vốn, đầu tư dài hạn (i)","Góp vốn, đầu tư dài hạn (i)",-,2.243.027,-,-,-,-,-,-,2.243.027,,2243027.0,,,,,,,2243027.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.713.599,-,-,-,-,-,-,3.713.599,,3713599.0,,,,,,,3713599.0
