row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,20.180.997.440,45.885.660,20.226.883.100,20180997440.0,45885660.0,20226883100.0
Mua trong kỳ,NGUYÊN GIÁ > Mua trong kỳ,Mua trong kỳ,-,107.000.000,107.000.000,,107000000.0,107000000.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,20.180.997.440,152.885.660,20.333.883.100,20180997440.0,152885660.0,20333883100.0
HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,HAO MÔN LỦY KẾ,,,
Tại ngày 01/01/2015,HAO MÔN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,1.968.668.804,45.885.660,2.014.554.464,1968668804.0,45885660.0,2014554464.0
Khấu hao trong kỳ,HAO MÔN LỦY KẾ > Khấu hao trong kỳ,Khấu hao trong kỳ,635.533.500,20.805.554,656.339.054,635533500.0,20805554.0,656339054.0
Tại ngày 31/12/2015,HAO MÔN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,2.604.202.304,66.691.214,2.670.893.518,2604202304.0,66691214.0,2670893518.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 01/01/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2015,Tại ngày 01/01/2015,18.212.328.636,-,18.212.328.636,18212328636.0,,18212328636.0
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,17.576.795.136,86.194.446,17.662.989.582,17576795136.0,86194446.0,17662989582.0
