row_label_raw,row_label_full,col_0,Tài sản,Tài sản_1,numeric__Tài sản,numeric__Tài sản_1
,,,31/12/2015,01/01/2015,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),"8.570.628,35","10.421.296,47",8570628.35,10421296.47
- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,"4.421.418,39","5.150.890,13",4421418.39,5150890.13
- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,- Phải thu khách hàng và phải thu khác,"4.149.209,96","5.270.406,34",4149209.96,5270406.34
- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,- Trả trước cho người bán ngắn hạn,"1.005.338,00","1.500,00",1005338.0,1500.0
Euro (EUR),Euro (EUR),Euro (EUR),54.113.48,"647,35",5411348.0,647.35
- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,54.113.48,"647,35",5411348.0,647.35
Băng Anh (GPB),Băng Anh (GPB),Băng Anh (GPB),"27.756,69","1.096,67",27756.69,1096.67
- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,- Tiền và các khoản tương đương tiền,"27.756,69","1.096,67",27756.69,1096.67
,,,Công nợ,Công nợ,,
Đô la Mỹ (USD),Đô la Mỹ (USD),Đô la Mỹ (USD),"19.274.255,42","17.180.898,80",19274255.42,17180898.8
- Các khoản vay,- Các khoản vay,- Các khoản vay,"10.836.870,29","10.236.677,01",10836870.29,10236677.01
- Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,- Phải trả người bán và phải trả khác,"8.002.461,94","6.675.596,04",8002461.94,6675596.04
