row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Số đã báo cáo > VND,Phân loại lại > VND,Số sau phân loại lại > VND,numeric__Mã số,numeric__Số đã báo cáo > VND,numeric__Phân loại lại > VND,numeric__Số sau phân loại lại > VND
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,732.855.028.322,-,732.855.028.322,400.0,732855028322.0,,732855028322.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,732.855.028.322,-,732.855.028.322,410.0,732855028322.0,,732855028322.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,14.190.290.447,14.068.864.199,28.259.154.646,418.0,14190290447.0,14068864199.0,28259154646.0
Quỹ dự phòng tài chính (*),Quỹ dự phòng tài chính (*),Quỹ dự phòng tài chính (*),,14.068.864.199,(14.068.864.199),-,,14068864199.0,-14068864199.0,
TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,TỔNG CỘNG NGUỒN VỐN,440,1.363.541.865.653,-,1.363.541.865.653,440.0,1363541865653.0,,1363541865653.0
