row_label_raw,row_label_full,"Giá trị còn lại và chi phí thanh lý, nhượng bán TSCĐ",Năm 2015VND > -,Năm 2014VND > 5.469.121.736,numeric__Năm 2015VND > -,numeric__Năm 2014VND > 5.469.121.736
Các khoản chi phí khác,Các khoản chi phí khác,Các khoản chi phí khác,3.907.478,50.403.320,3907478.0,50403320.0
Cộng,Cộng,Cộng,3.907.478,5.519.525.056,3907478.0,5519525056.0
