row_label_raw,row_label_full,col_0,Quyềnsử dụng đấtVND,Phần mềmmáy vi tínhVND,Tổng cộngVND,numeric__Quyềnsử dụng đấtVND,numeric__Phần mềmmáy vi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.108.070.000,939.900.000,2.047.970.000,1108070000.0,939900000.0,2047970000.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,708.500.000,708.500.000,,708500000.0,708500000.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(50.000.000),(50.000.000),,-50000000.0,-50000000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.108.070.000,1.598.400.000,2.706.470.000,1108070000.0,1598400000.0,2706470000.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,-,325.237.891,325.237.891,,325237891.0,325237891.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,-,293.753.422,293.753.422,,293753422.0,293753422.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(16.666.660),(16.666.660),,-16666660.0,-16666660.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,-,602.324.653,602.324.653,,602324653.0,602324653.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.108.070.000,614.662.109,1.722.732.109,1108070000.0,614662109.0,1722732109.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.108.070.000,996.075.347,2.104.145.347,1108070000.0,996075347.0,2104145347.0
