row_label_raw,row_label_full,col_0,Mãsố,2021VND,2020VND,numeric__Mãsố,numeric__2021VND,numeric__2020VND
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,
Lợi nhuận trước thuếĐiều chỉnh cho các khoản,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận trước thuếĐiều chỉnh cho các khoản,Lợi nhuận trước thuếĐiều chỉnh cho các khoản,01,338.908.608.565,767.436.341.525,1.0,338908608565.0,767436341525.0
Khẩu hao,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khẩu hao,Khẩu hao,02,132.074.359.226,109.404.489.339,2.0,132074359226.0,109404489339.0
Các khoản dự phòng,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,(88.586.044.709),(11.615.870.939),3.0,-88586044709.0,-11615870939.0
Lỗ chênh lệch tỷ giá đánh giá lạicác khoản mục có gốc ngoại tệ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lỗ chênh lệch tỷ giá đánh giá lạicác khoản mục có gốc ngoại tệ,Lỗ chênh lệch tỷ giá đánh giá lạicác khoản mục có gốc ngoại tệ,04,989.726.513,1.147.413.708,4.0,989726513.0,1147413708.0
Lãi từ hoạt động đầu tư,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ hoạt động đầu tư,Lãi từ hoạt động đầu tư,05,(144.597.724.267),(368.803.280.000),5.0,-144597724267.0,-368803280000.0
Chi phí lãi vay,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay,Chi phí lãi vay,06,205.966.486.400,150.872.629.369,6.0,205966486400.0,150872629369.0
Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanhtrước những thay đổi vốn lưu động,08,444.755.411.728,648.441.723.002,8.0,444755411728.0,648441723002.0
Biến động các khoản phải thu,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu,Biến động các khoản phải thu,09,416.204.208.829,(1.126.949.922.210),9.0,416204208829.0,-1126949922210.0
Biến động hàng tồn kho,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,19.999.445.256,86.330.857.718,10.0,19999445256.0,86330857718.0
Biến động các khoản phải trả và nợ phải trả khác,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải trả và nợ phải trả khác,Biến động các khoản phải trả và nợ phải trả khác,11,145.903.622.759,1.129.101.363.881,11.0,145903622759.0,1129101363881.0
Biến động chi phí trả trước,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chi phí trả trước,Biến động chi phí trả trước,12,(10.595.266.697),520.584.632,12.0,-10595266697.0,520584632.0
,,,,1.016.267.421.875,737.444.607.023,,1016267421875.0,737444607023.0
