row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2021VND,2020VND,,
Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,,
Doanh thu bán hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,428.164.983,118.238.398,428164983.0,118238398.0
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình > Doanh thu cho thuê,Doanh thu cho thuê,457.313.850,300.535.200,457313850.0,300535200.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình > Mua hàng hóa,Mua hàng hóa,480.371.310.952,202.984.283.981,480371310952.0,202984283981.0
Lợi nhuận được chia,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình > Lợi nhuận được chia,Lợi nhuận được chia,1.500.000.000,-,1500000000.0,
Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,,
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương > Doanh thu cho thuê,Doanh thu cho thuê,1.423.885.632,1.648.878.169,1423885632.0,1648878169.0
Doanh thu khác,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương > Doanh thu khác,Doanh thu khác,-,188.352.915,,188352915.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương > Mua hàng hóa,Mua hàng hóa,1.783.048.590,2.007.575.985,1783048590.0,2007575985.0
Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,,
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai > Doanh thu cho thuê,Doanh thu cho thuê,148.640.465,167.827.659,148640465.0,167827659.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai > Mua hàng hóa,Mua hàng hóa,281.921.469.971,103.461.944.961,281921469971.0,103461944961.0
Lợi nhuận được chia,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai > Lợi nhuận được chia,Lợi nhuận được chia,500.000.000,750.000.000,500000000.0,750000000.0
Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,,
Doanh thu dịch vụ xây lắp,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc > Doanh thu dịch vụ xây lắp,Doanh thu dịch vụ xây lắp,85.700.398,232.405.589,85700398.0,232405589.0
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc > Doanh thu cho thuê,Doanh thu cho thuê,161.930.121,-,161930121.0,
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc > Mua hàng hóa,Mua hàng hóa,241.910.835.289,46.380.338.741,241910835289.0,46380338741.0
Cổ tức được chia,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc > Cổ tức được chia,Cổ tức được chia,1.023.600.960,-,1023600960.0,
Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,,
Doanh thu bán hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,794.818.534,5.604.898,794818534.0,5604898.0
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm > Doanh thu cho thuê,Doanh thu cho thuê,381.204.486,361.448.913,381204486.0,361448913.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm > Mua hàng hóa,Mua hàng hóa,73.411.593.241,79.000.232.585,73411593241.0,79000232585.0
Lợi nhuận được chia,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm > Lợi nhuận được chia,Lợi nhuận được chia,1.054.956.942,-,1054956942.0,
Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty TNHH MTV Xây lắp Điện I - Hà Đông,,
Doanh thu bán hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Hà Đông > Doanh thu bán hàng hóa,Doanh thu bán hàng hóa,569.741.354,6.727.292,569741354.0,6727292.0
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Hà Đông > Doanh thu cho thuê,Doanh thu cho thuê,110.827.684,206.198.655,110827684.0,206198655.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Hà Đông > Mua hàng hóa,Mua hàng hóa,150.706.570.248,140.267.316.363,150706570248.0,140267316363.0
Lợi nhuận được chia,Công ty TNHH MTV Xây lắp Điện I - Hà Đông > Lợi nhuận được chia,Lợi nhuận được chia,594.287.432,-,594287432.0,
Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,,
Cho vay,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình > Cho vay,Cho vay,5.000.000.000,-,5000000000.0,
Doanh thu cho thuê,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình > Doanh thu cho thuê,Doanh thu cho thuê,67.666.756,156.308.169,67666756.0,156308169.0
Mua hàng hóa,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình > Mua hàng hóa,Mua hàng hóa,137.408.447.032,79.853.367.084,137408447032.0,79853367084.0
Lợi nhuận được chia,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình > Lợi nhuận được chia,Lợi nhuận được chia,1.000.000.000,-,1000000000.0,
Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,,
Doanh thu cho thuê,Công ty Cổ phần Thủy điện Trung Thu > Doanh thu cho thuê,Doanh thu cho thuê,67.526.576,50.644.932,67526576.0,50644932.0
Cổ tức được chia,Công ty Cổ phần Thủy điện Trung Thu > Cổ tức được chia,Cổ tức được chia,25.800.000.000,12.540.000.000,25800000000.0,12540000000.0
