row_label_raw,row_label_full,col_0,1/1/2021Giá trị ghi số và số có khả năng trả nợ VND,Biến động trong năm > Tăng VND,Biến động trong năm > Giảm VND,31/12/2021Giá trị ghi số và số có khả năng trả nợ VND,numeric__1/1/2021Giá trị ghi số và số có khả năng trả nợ VND,numeric__Biến động trong năm > Tăng VND,numeric__Biến động trong năm > Giảm VND,numeric__31/12/2021Giá trị ghi số và số có khả năng trả nợ VND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,1.445.337.515.130,8.928.964.700.726,(8.318.661.684.942),2.055.640.530.914,1445337515130.0,8928964700726.0,-8318661684942.0,2055640530914.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,53.400.000.000,78.074.000.000,(53.400.000.000),78.074.000.000,53400000000.0,78074000000.0,-53400000000.0,78074000000.0
,,,1.498.737.515.130,9.007.038.700.726,(8.372.061.684.942),2.133.714.530.914,1498737515130.0,9007038700726.0,-8372061684942.0,2133714530914.0
