row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy móc vàthiết bịVND,Phương tiệnvận chuyểnVND,Dụng cụvăn phòngVND,Tài sản cố địnhhữu hình khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy móc vàthiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Dụng cụvăn phòngVND,numeric__Tài sản cố địnhhữu hình khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.351.351.248.792,1.205.157.931.049,155.652.717.885,8.509.224.356,953.675.210,2.721.624.797.292,1351351248792.0,1205157931049.0,155652717885.0,8509224356.0,953675210.0,2721624797292.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.815.195.727,-,753.671.599,-,2.568.867.326,,1815195727.0,,753671599.0,,2568867326.0
Chuyển sang từ xây dựngcor bản dở dang,Nguyên giá > Chuyển sang từ xây dựngcor bản dở dang,Chuyển sang từ xây dựngcor bản dở dang,3.028.204.890,20.904.945.328,7.691.108.546,154.930.213,-,31.779.188.977,3028204890.0,20904945328.0,7691108546.0,154930213.0,,31779188977.0
Xóa số,Nguyên giá > Xóa số,Xóa số,(943.094.045),(1.071.592.296),-,-,-,(2.014.686.341),-943094045.0,-1071592296.0,,,,-2014686341.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(5.754.800.644),(22.903.657.349),(3.633.421.636),(46.000.000),-,(32.337.879.629),-5754800644.0,-22903657349.0,-3633421636.0,-46000000.0,,-32337879629.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.347.681.558.993,1.203.902.822.459,159.710.404.795,9.371.826.168,953.675.210,2.721.620.287.625,1347681558993.0,1203902822459.0,159710404795.0,9371826168.0,953675210.0,2721620287625.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,142.083.750.687,167.890.817.217,52.863.550.347,6.470.954.346,713.762.533,370.022.835.130,142083750687.0,167890817217.0,52863550347.0,6470954346.0,713762533.0,370022835130.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,48.136.424.298,62.094.840.429,14.926.535.689,749.914.325,130.842.501,126.038.557.242,48136424298.0,62094840429.0,14926535689.0,749914325.0,130842501.0,126038557242.0
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,(646.992.630),(664.500.639),-,-,-,(1.311.493.269),-646992630.0,-664500639.0,,,,-1311493269.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(5.754.800.644),(18.132.437.742),(2.761.782.742),(46.000.000),-,(26.695.021.128),-5754800644.0,-18132437742.0,-2761782742.0,-46000000.0,,-26695021128.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,183.818.381.711,211.188.719.265,65.028.303.294,7.174.868.671,844.605.034,468.054.877.975,183818381711.0,211188719265.0,65028303294.0,7174868671.0,844605034.0,468054877975.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.209.267.498.105,1.037.267.113.832,102.789.167.538,2.038.270.010,239.912.677,2.351.601.962.162,1209267498105.0,1037267113832.0,102789167538.0,2038270010.0,239912677.0,2351601962162.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.163.863.177.282,992.714.103.194,94.682.101.501,2.196.957.497,109.070.176,2.253.565.409.650,1163863177282.0,992714103194.0,94682101501.0,2196957497.0,109070176.0,2253565409650.0
