row_label_raw,row_label_full,col_0,Loại tiền,31/12/2021VND,1/1/2021VND,numeric__Loại tiền,numeric__31/12/2021VND,numeric__1/1/2021VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,
Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Công ty con > Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,VND,98.700.000.000,104.700.000.000,,98700000000.0,104700000000.0
Công ty Cổ phần Thiết bị Thương mại,Công ty con > Công ty Cổ phần Thiết bị Thương mại,Công ty Cổ phần Thiết bị Thương mại,VND,3.000.000.000,-,,3000000000.0,
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty con > Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,VND,-,74.633.300.000,,,74633300000.0
Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty con > Công ty Cổ phần Cơ khí Ô tô Hòa Bình,Công ty Cổ phần Cơ khí Ô tô Hòa Bình,VND,-,102.163.200.000,,,102163200000.0
Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,Các bên khác,,,
"Ngân hàng BNP Paribas, Chi nhánh Hà Nội","Các bên khác > Ngân hàng BNP Paribas, Chi nhánh Hà Nội","Ngân hàng BNP Paribas, Chi nhánh Hà Nội",VND,497.843.841.474,257.303.208.754,,497843841474.0,257303208754.0
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Các bên khác > Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Nội,VND,487.562.337.967,284.898.162.564,,487562337967.0,284898162564.0
Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành An,Các bên khác > Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành An,Ngân hàng Thương mại Cổ phần Công thương Việt Nam - Chi nhánh Thành An,VND,654.496.562.386,446.889.049.045,,654496562386.0,446889049045.0
Ngân hàng TNHH Một thành viên HSBC,Các bên khác > Ngân hàng TNHH Một thành viên HSBC,Ngân hàng TNHH Một thành viên HSBC,VND,308.994.286.515,-,,308994286515.0,
Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,Các bên khác > Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,Ngân hàng TMCP Ngoại thương Việt Nam - Sở giao dịch,VND,5.043.502.572,111.980.932.358,,5043502572.0,111980932358.0
Ngân hàng Shinhan Bank Việt Nam - Chi nhánh Hà Nội,Các bên khác > Ngân hàng Shinhan Bank Việt Nam - Chi nhánh Hà Nội,Ngân hàng Shinhan Bank Việt Nam - Chi nhánh Hà Nội,VND,-,38.508.422.409,,,38508422409.0
Các cá nhân,Các bên khác > Các cá nhân,Các cá nhân,VND,-,24.261.240.000,,,24261240000.0
,,,,2.055.640.530.914,1.445.337.515.130,,2055640530914.0,1445337515130.0
