row_label_raw,row_label_full,col_0,Giá gốc và số có khả năng trả nợ,Giá gốc và số có khả năng trả nợ_1,numeric__Giá gốc và số có khả năng trả nợ,numeric__Giá gốc và số có khả năng trả nợ_1
,,,31/12/2021VND,1/1/2021VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,Công ty TNHH MTV Xây lắp Điện I - Mỹ Đình,135.871.938.419,76.799.561.132,135871938419.0,76799561132.0
Công ty TNHH MTV Xây lắp Điện I - Miền Nam,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Miền Nam,Công ty TNHH MTV Xây lắp Điện I - Miền Nam,112.282.778.903,158.218.473.308,112282778903.0,158218473308.0
Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,Công ty TNHH MTV Xây lắp Điện I - Miền Bắc,51.994.331.177,-,51994331177.0,
Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,Công ty TNHH MTV Xây lắp Điện I - Hoàng Mai,34.621.872.743,-,34621872743.0,
Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,Công ty con > Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,Công ty Cổ phần Đầu tư và Dịch vụ Công nghệ,31.543.003.077,11.637.843.000,31543003077.0,11637843000.0
Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,Công ty TNHH MTV Xây lắp Điện I - Ninh Bình,29.839.440.038,13.598.030.283,29839440038.0,13598030283.0
Công ty TNHH MTV Xây lắp Điện I - Đại Mỗ,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Đại Mỗ,Công ty TNHH MTV Xây lắp Điện I - Đại Mỗ,29.169.591.393,17.341.429.431,29169591393.0,17341429431.0
Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con > Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty TNHH Chế tạo Cột thép Đông Anh,13.606.068.540,12.231.528.176,13606068540.0,12231528176.0
Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Hà Đông,Công ty TNHH MTV Xây lắp Điện I - Hà Đông,13.263.781.252,15.864.917.538,13263781252.0,15864917538.0
Công ty Cổ phần Năng lượng Bảo Lâm,Công ty con > Công ty Cổ phần Năng lượng Bảo Lâm,Công ty Cổ phần Năng lượng Bảo Lâm,12.715.520.095,-,12715520095.0,
Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty con > Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,Công ty Cổ phần Đầu tư Địa ốc Mỹ Đình,5.235.399.536,8.177.349.510,5235399536.0,8177349510.0
Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,Công ty TNHH MTV Xây lắp Điện I - Nàng Hương,1.443.017.717,-,1443017717.0,
Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty con > Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,Công ty TNHH MTV Xây lắp Điện I - Từ Liêm,31.615.331,4.543.916.203,31615331.0,4543916203.0
Công ty Cổ phần Thủy điện Trung Thu,Công ty con > Công ty Cổ phần Thủy điện Trung Thu,Công ty Cổ phần Thủy điện Trung Thu,18.569.818,-,18569818.0,
Công ty Cổ phần Khoáng sản Tân Phát,Công ty con > Công ty Cổ phần Khoáng sản Tân Phát,Công ty Cổ phần Khoáng sản Tân Phát,9.192.724,-,9192724.0,
Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Công ty con > Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,Công ty Cổ phần Thương mại Đầu tư Tiến Bộ,-,4.481.521.236,,4481521236.0
Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,Công ty con cấp 2,,
Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên – công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty con cấp 2 > Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên – công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,Công ty Cổ phần Cột thép Mạ kẽm Thái Nguyên – công ty con của Công ty TNHH Chế tạo Cột thép Đông Anh,8.654.481.941,-,8654481941.0,
,,,480.300.602.704,322.894.569.817,480300602704.0,322894569817.0
