row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Quỹ đầu tư phát triển VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng cộng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ đầu tư phát triển VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,Số dư tại ngày 1/1/2020,1.593.242.660.000,711.136.556.786,(4.320.000),114.455.330.655,46.742.864.034,800.799.383.460,3.266.372.474.935,1593242660000.0,711136556786.0,-4320000.0,114455330655.0,46742864034.0,800799383460.0,3266372474935.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,704.807.968.784,704.807.968.784,,,,,,704807968784.0,704807968784.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,35.779.161.016,-,(35.779.161.016),-,,,,35779161016.0,,-35779161016.0,
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,17.889.580.508,(17.889.580.508),-,,,,,17889580508.0,-17889580508.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(36.047.429.204),(36.047.429.204),,,,,,-36047429204.0,-36047429204.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,318.638.930.000,-,-,-,-,(318.638.930.000),-,318638930000.0,,,,,-318638930000.0,
Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,Số dư tại ngày 1/1/2021,1.911.881.590.000,711.136.556.786,(4.320.000),150.234.491.671,64.632.444.542,1.097.252.251.516,3.935.133.014.515,1911881590000.0,711136556786.0,-4320000.0,150234491671.0,64632444542.0,1097252251516.0,3935133014515.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,310.925.225.021,310.925.225.021,,,,,,310925225021.0,310925225021.0
Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),Trích quỹ đầu tư phát triển (i),-,-,-,47.797.039.750,-,(47.797.039.750),-,,,,47797039750.0,,-47797039750.0,
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(34.020.927.825),(34.020.927.825),,,,,,-34020927825.0,-34020927825.0
Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),Chia cổ tức bằng cổ phiếu (i),382.369.490.000,-,-,-,-,(382.369.490.000),-,382369490000.0,,,,,-382369490000.0,
Tăng vốn góp theo chương trình ESOP (ii),Tăng vốn góp theo chương trình ESOP (ii),Tăng vốn góp theo chương trình ESOP (ii),57.345.410.000,-,4.320.000,-,-,-,57.349.730.000,57345410000.0,,4320000.0,,,,57349730000.0
Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,Số dư tại ngày 31/12/2021,2.351.596.490.000,711.136.556.786,-,198.031.531.421,64.632.444.542,943.990.018.962,4.269.387.041.711,2351596490000.0,711136556786.0,,198031531421.0,64632444542.0,943990018962.0,4269387041711.0
