row_label_raw,row_label_full,col_0,Dự phòng bảo hành sản phẩm hàng hóa VND,Dự phòng bảo hành công trình xây dựng VND,Tổng cộng VND,numeric__Dự phòng bảo hành sản phẩm hàng hóa VND,numeric__Dự phòng bảo hành công trình xây dựng VND,numeric__Tổng cộng VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,2.987.311.284,7.261.678.713,10.248.989.997,2987311284.0,7261678713.0,10248989997.0
Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,Dự phòng trích lập trong năm,1.456.101.868,-,1.456.101.868,1456101868.0,,1456101868.0
Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,Hoàn nhập dự phòng trong năm,(4.443.413.152),(2.891.526.650),(7.334.939.802),-4443413152.0,-2891526650.0,-7334939802.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,4.370.152.063,4.370.152.063,,4370152063.0,4370152063.0
Trong đó:Dự phòng phải trả dài hạn,Trong đó:Dự phòng phải trả dài hạn,Trong đó:Dự phòng phải trả dài hạn,-,4.370.152.063,4.370.152.063,,4370152063.0,4370152063.0
