row_label_raw,row_label_full,col_0,Khu văn phòngtại chung cưNàng HươngVND,Khu văn phòngtại chung cưMỹ Đình PlazaVND,Khu văn phòngtại chung cưPCC1 Hà ĐôngComplexVND,Tổng cộngVND,numeric__Khu văn phòngtại chung cưNàng HươngVND,numeric__Khu văn phòngtại chung cưMỹ Đình PlazaVND,numeric__Khu văn phòngtại chung cưPCC1 Hà ĐôngComplexVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm vàcuối năm,Nguyên giá > Số dư đầu năm vàcuối năm,Số dư đầu năm vàcuối năm,11.076.525.175,90.477.826.874,24.269.520.970,125.823.873.019,11076525175.0,90477826874.0,24269520970.0,125823873019.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,4.101.713.372,26.319.172.775,4.375.162.943,34.796.049.090,4101713372.0,26319172775.0,4375162943.0,34796049090.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,398.779.182,4.372.488.545,970.780.835,5.742.048.562,398779182.0,4372488545.0,970780835.0,5742048562.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,4.500.492.554,30.691.661.320,5.345.943.778,40.538.097.652,4500492554.0,30691661320.0,5345943778.0,40538097652.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,6.974.811.803,64.158.654.099,19.894.358.027,91.027.823.929,6974811803.0,64158654099.0,19894358027.0,91027823929.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,6.576.032.621,59.786.165.554,18.923.577.192,85.285.775.367,6576032621.0,59786165554.0,18923577192.0,85285775367.0
