row_label_raw,row_label_full,Khoản mục,"Bản quyền, bán sáng chế","Chương trình, phần mềm",Nhăn hiệu hàng hóa quốc tế,Đơn vị tính: VND Tổng cộng,"numeric__Bản quyền, bán sáng chế","numeric__Chương trình, phần mềm",numeric__Nhăn hiệu hàng hóa quốc tế,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư ngày 01/01/2019,Nguyên giá > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,208.518.000,1.084.725.750,267.227.596,1.560.471.346,208518000.0,1084725750.0,267227596.0,1560471346.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,324.000.000,-,324.000.000,,324000000.0,,324000000.0
Số dư ngày 31/12/2019,Nguyên giá > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,208.518.000,1.408.725.750,267.227.596,1.884.471.346,208518000.0,1408725750.0,267227596.0,1884471346.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư ngày 01/01/2019,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,74.209.832,508.951.592,267.227.596,850.389.020,74209832.0,508951592.0,267227596.0,850389020.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,45.017.272,321.473.065,-,366.490.337,45017272.0,321473065.0,,366490337.0
Số dư ngày 31/12/2019,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,119.227.104,830.424.657,267.227.596,1.216.879.357,119227104.0,830424657.0,267227596.0,1216879357.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 01/01/2019,Giá trị còn lại > Tại ngày 01/01/2019,Tại ngày 01/01/2019,134.308.168,575.774.158,-,710.082.326,134308168.0,575774158.0,,710082326.0
Tại ngày 31/12/2019,Giá trị còn lại > Tại ngày 31/12/2019,Tại ngày 31/12/2019,89.290.896,578.301.093,-,667.591.989,89290896.0,578301093.0,,667591989.0
