row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2019,Năm 2018,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2019,numeric__Năm 2018
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,VI.1,1.114.372.089.306,838.292.644.554,1.0,,1114372089306.0,838292644554.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,VI.2,424.408.060,-,2.0,,424408060.0,
3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),3. Doanh thu thuần về hoạt động kinh doanh (10 = 01 - 02),10,,1.113.947.681.246,838.292.644.554,10.0,,1113947681246.0,838292644554.0
4. Giá vốn hàng bán,4. Giá vốn hàng bán,4. Giá vốn hàng bán,11,VI.3,661.198.964.381,594.250.561.715,11.0,,661198964381.0,594250561715.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20 = 10 - 11),20,,452.748.716.865,244.042.082.839,20.0,,452748716865.0,244042082839.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,VI.4,41.110.880.303,107.688.952.413,21.0,,41110880303.0,107688952413.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,VI.5,37.083.734.030,34.373.790.875,22.0,,37083734030.0,34373790875.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,20.066.960.764,23.171.241.479,23.0,,20066960764.0,23171241479.0
8. Chi phí bán hàng,8. Chi phí bán hàng,8. Chi phí bán hàng,25,VI.8,42.716.522.618,19.110.350.756,25.0,,42716522618.0,19110350756.0
9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,9. Chi phí quản lý doanh nghiệp,26,VI.8,45.255.779.471,53.082.297.519,26.0,,45255779471.0,53082297519.0
10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},10. Lợi nhuận thuần từ hoạt động kinh doanh {30 = 20 + (21 - 22) - (25 + 26)},30,,368.803.561.049,245.164.596.102,30.0,,368803561049.0,245164596102.0
11. Thu nhập khác,11. Thu nhập khác,11. Thu nhập khác,31,VI.6,2.977.307.982,24.274.993.826,31.0,,2977307982.0,24274993826.0
12. Chi phí khác,12. Chi phí khác,12. Chi phí khác,32,VI.7,2.029.469.234,29.289.393.614,32.0,,2029469234.0,29289393614.0
13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),13. Lợi nhuận khác (40 = 31 - 32),40,,947.838.748,(5.014.399.788),40.0,,947838748.0,-5014399788.0
14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),14. Tổng lợi nhuận kế toán trước thuế (50 = 30 + 40),50,,369.751.399.797,240.150.196.314,50.0,,369751399797.0,240150196314.0
15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,15. Chi phí thuế TNDN hiện hành,51,VI.10,70.155.047.042,34.940.453.970,51.0,,70155047042.0,34940453970.0
16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,16. Chi phí thuế TNDN hoãn lại,52,,-,-,52.0,,,
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60 = 50 - 51 - 52),60,,299.596.352.755,205.209.742.344,60.0,,299596352755.0,205209742344.0
