row_label_raw,row_label_full,Đầu tư vào công ty con,31/12/2019,31/12/2019_1,Đơn vị tính: VND01/01/2019,Đơn vị tính: VND01/01/2019_1,numeric__31/12/2019,numeric__31/12/2019_1,numeric__Đơn vị tính: VND01/01/2019,numeric__Đơn vị tính: VND01/01/2019_1
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
Công ty TNHH C.E.OQuốc tế,Đầu tư vào công ty con > Công ty TNHH C.E.OQuốc tế,Công ty TNHH C.E.OQuốc tế,353.919.980.000,-,83.919.980.000,-,353919980000.0,,83919980000.0,
Công ty CP Xây dựngC.E.O,Đầu tư vào công ty con > Công ty CP Xây dựngC.E.O,Công ty CP Xây dựngC.E.O,51.000.000.000,-,30.600.000.000,-,51000000000.0,,30600000000.0,
Công ty CP Phát triểndịch vụ C.E.O,Đầu tư vào công ty con > Công ty CP Phát triểndịch vụ C.E.O,Công ty CP Phát triểndịch vụ C.E.O,33.150.000.000,-,22.950.000.000,-,33150000000.0,,22950000000.0,
Trường Cao đẳng Đại Việt,Đầu tư vào công ty con > Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,176.900.000.000,(17.399.873.800),176.900.000.000,(13.441.463.391),176900000000.0,-17399873800.0,176900000000.0,-13441463391.0
Công ty CP Đầu tư vàPhát triển Phú Quốc,Đầu tư vào công ty con > Công ty CP Đầu tư vàPhát triển Phú Quốc,Công ty CP Đầu tư vàPhát triển Phú Quốc,306.029.000.000,-,306.029.000.000,-,306029000000.0,,306029000000.0,
Công ty CP Đầu tư BMC -CEO,Đầu tư vào công ty con > Công ty CP Đầu tư BMC -CEO,Công ty CP Đầu tư BMC -CEO,17.900.000.000,(117.833.873),17.900.000.000,(441.919.094),17900000000.0,-117833873.0,17900000000.0,-441919094.0
Công ty CP Du lịch C.E.O,Đầu tư vào công ty con > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,10.200.000.000,(3.401.587.971),10.200.000.000,(1.533.769.978),10200000000.0,-3401587971.0,10200000000.0,-1533769978.0
Công ty CP Phát triển nhàvà đô thị Phú Quốc,Đầu tư vào công ty con > Công ty CP Phát triển nhàvà đô thị Phú Quốc,Công ty CP Phát triển nhàvà đô thị Phú Quốc,225.181.028.803,-,225.181.028.803,-,225181028803.0,,225181028803.0,
Công ty CP Đầu tư vàPhát triển Nha Trang,Đầu tư vào công ty con > Công ty CP Đầu tư vàPhát triển Nha Trang,Công ty CP Đầu tư vàPhát triển Nha Trang,446.604.100.000,-,59.624.100.000,(135.976.299),446604100000.0,,59624100000.0,-135976299.0
Công ty TNHH C.E.OHospitality (trước là Côngty TNHH MTV Khách sạnvà Nghị dưỡng C.E.O),Đầu tư vào công ty con > Công ty TNHH C.E.OHospitality (trước là Côngty TNHH MTV Khách sạnvà Nghị dưỡng C.E.O),Công ty TNHH C.E.OHospitality (trước là Côngty TNHH MTV Khách sạnvà Nghị dưỡng C.E.O),20.000.000.000,-,20.000.000.000,-,20000000000.0,,20000000000.0,
Công ty CP Đầu tư vàPhát triển du lịch Vân Đồn,Đầu tư vào công ty con > Công ty CP Đầu tư vàPhát triển du lịch Vân Đồn,Công ty CP Đầu tư vàPhát triển du lịch Vân Đồn,757.500.000.000,(16.026.663.600),195.000.000.000,(4.035.348.318),757500000000.0,-16026663600.0,195000000000.0,-4035348318.0
Công ty TNHH MTV Tưvấn thiết kế C.E.O,Đầu tư vào công ty con > Công ty TNHH MTV Tưvấn thiết kế C.E.O,Công ty TNHH MTV Tưvấn thiết kế C.E.O,4.418.620.211,(2.214.322.157),4.418.620.211,(2.518.820.550),4418620211.0,-2214322157.0,4418620211.0,-2518820550.0
Công ty CP Đầu tư vàPhát triển Nam Cần Thơ,Đầu tư vào công ty con > Công ty CP Đầu tư vàPhát triển Nam Cần Thơ,Công ty CP Đầu tư vàPhát triển Nam Cần Thơ,16.650.000.000,-,650.000.000,(11.816.687),16650000000.0,,650000000.0,-11816687.0
Cộng,Đầu tư vào công ty con > Cộng,Cộng,2.419.452.729.014,(39.160.281.401),1.153.372.729.014,(22.119.114.317),2419452729014.0,-39160281401.0,1153372729014.0,-22119114317.0
