row_label_raw,row_label_full,01/01/2019,Dưới 1 năm VND,Từ 1-5 năm VND,Cộng VND,numeric__Dưới 1 năm VND,numeric__Từ 1-5 năm VND,numeric__Cộng VND
Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,66.058.194.853,98.474.558.738,164.532.753.591,66058194853.0,98474558738.0,164532753591.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,15.249.902.007,-,15.249.902.007,15249902007.0,,15249902007.0
Các khoản vay,Các khoản vay,Các khoản vay,260.283.446.003,55.866.120.000,316.149.566.003,260283446003.0,55866120000.0,316149566003.0
