row_label_raw,row_label_full,Công ty CP Xây dựng C.E.O,1.084.694.872,951.779.110,numeric__1.084.694.872,numeric__951.779.110
Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,1.384.323.922,1.530.096.845,1384323922.0,1530096845.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,2.974.226.464,10.327.778.912,2974226464.0,10327778912.0
Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,Công ty TNHH MTV Dịch vụ bảo vệ C.E.O,669.900,-,669900.0,
Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,Công ty CP Phát triển dịch vụ C.E.O,2.513.636.282,2.419.045.799,2513636282.0,2419045799.0
Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,14.250.594.376,40.978.520.881,14250594376.0,40978520881.0
Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,Công ty TNHH C.E.O Hospitality,251.501.248,-,251501248.0,
Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,Công ty CP Đầu tư và Phát triển du lịch Vân Đồn,3.296.030.469,3.293.582.727,3296030469.0,3293582727.0
Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,Công ty TNHH MTV Tư vấn thiết kế C.E.O,720.298.124,233.839.521,720298124.0,233839521.0
Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,Công ty CP Đầu tư và Phát triển Nha Trang,5.139.353.717,-,5139353717.0,
Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,Công ty CP Đầu tư và Phát triển Nam Cần Thơ,3.824.848.462,-,3824848462.0,
Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,Trường Cao đẳng Đại Việt,-,140.425.575.283,,140425575283.0
Vay,Vay,Vay,396.700.000.000,230.000.000.000,396700000000.0,230000000000.0
