row_label_raw,row_label_full,N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_1,N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_2,N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_3,N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_4,N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_5,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_1,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_2,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_3,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_4,numeric__N THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo)thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo)_5
Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,Tăng giảm tài sản cố định hữu hình,,,,,
Khoản mục,Khoản mục,Khoản mục,"Nhà cửa,vật kiến trúc",Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",Tài sản cố địnhkhác,Đơn vị tính: VNDCộng,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư ngày 01/01/2019,Nguyên giá > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,26.928.094.277,12.703.956.363,2.740.832.729,1.550.417.005,43.923.300.374,26928094277.0,12703956363.0,2740832729.0,1550417005.0,43923300374.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,456.663.637,-,456.663.637,,,456663637.0,,456663637.0
Số dư ngày 31/12/2019,Nguyên giá > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,26.928.094.277,12.703.956.363,3.197.496.366,1.550.417.005,44.379.964.011,26928094277.0,12703956363.0,3197496366.0,1550417005.0,44379964011.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư ngày 01/01/2019,Giá trị hao mòn luỹ kế > Số dư ngày 01/01/2019,Số dư ngày 01/01/2019,4.250.845.450,4.738.324.719,1.694.977.682,1.550.417.005,12.234.564.856,4250845450.0,4738324719.0,1694977682.0,1550417005.0,12234564856.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,1.124.171.559,1.636.771.823,395.477.934,-,3.156.421.316,1124171559.0,1636771823.0,395477934.0,,3156421316.0
Số dư ngày 31/12/2019,Giá trị hao mòn luỹ kế > Số dư ngày 31/12/2019,Số dư ngày 31/12/2019,5.375.017.009,6.375.096.542,2.090.455.616,1.550.417.005,15.390.986.172,5375017009.0,6375096542.0,2090455616.0,1550417005.0,15390986172.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày 01/01/2019,Giá trị còn lại > Tại ngày 01/01/2019,Tại ngày 01/01/2019,22.677.248.827,7.965.631.644,1.045.855.047,-,31.688.735.518,22677248827.0,7965631644.0,1045855047.0,,31688735518.0
Tại ngày 31/12/2019,Giá trị còn lại > Tại ngày 31/12/2019,Tại ngày 31/12/2019,21.553.077.268,6.328.859.821,1.107.040.750,-,28.988.977.839,21553077268.0,6328859821.0,1107040750.0,,28988977839.0
