row_label_raw,row_label_full,Khoản mục,01/01/2019,Số phải nộp trong năm,Số đã thực nộp trong năm,Đơn vị tính: VND 31/12/2019,numeric__01/01/2019,numeric__Số phải nộp trong năm,numeric__Số đã thực nộp trong năm,numeric__Đơn vị tính: VND 31/12/2019
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế GTGT,Phải nộp > Thuế GTGT,Thuế GTGT,5.193.189.337,56.290.261.591,60.846.003.550,637.447.378,5193189337.0,56290261591.0,60846003550.0,637447378.0
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,29.136.276.171,70.155.047.042,73.004.811.791,26.286.511.422,29136276171.0,70155047042.0,73004811791.0,26286511422.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,344.363.658,10.701.050.066,10.251.213.540,794.200.184,344363658.0,10701050066.0,10251213540.0,794200184.0
Thuế nhà đất và tiền thuê đất,Phải nộp > Thuế nhà đất và tiền thuê đất,Thuế nhà đất và tiền thuê đất,-,348.267.768,348.267.768,-,,348267768.0,348267768.0,
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,3.000.000,3.000.000,-,,3000000.0,3000000.0,
Cộng,Phải nộp > Cộng,Cộng,34.673.829.166,137.497.626.467,144.453.296.649,27.718.158.984,34673829166.0,137497626467.0,144453296649.0,27718158984.0
