row_label_raw,row_label_full,STT,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2019,Đơn vị tính: VND Năm 2018,numeric__CHỈ TIÊU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2019,numeric__Đơn vị tính: VND Năm 2018
I.,I.,I.,Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,
1.,I. > 1.,1.,Lợi nhuận trước thuế,01,,369.751.399.797,240.150.196.314,,1.0,,369751399797.0,240150196314.0
2.,2.,2.,Điều chỉnh cho các khoản,,,,,,,,,
-,2. > -,-,Khấu hao TSCĐ và BĐSDĐT,02,,8.613.256.137,8.531.919.905,,2.0,,8613256137.0,8531919905.0
-,2. > -,-,Các khoản dự phòng,03,,15.722.200.605,27.777.328.021,,3.0,,15722200605.0,27777328021.0
-,2. > -,-,"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,-,42.955.300,,4.0,,,42955300.0
-,2. > -,-,"Lãi, lỗ từ hoạt động đầu tư",05,,(40.225.768.597),(106.206.541.131),,5.0,,-40225768597.0,-106206541131.0
-,2. > -,-,Chi phí lãi vay,06,,20.066.960.764,23.171.241.479,,6.0,,20066960764.0,23171241479.0
3.,2. > 3.,3.,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,08,,373.928.048.706,193.467.099.888,,8.0,,373928048706.0,193467099888.0
-,2. > -,-,"Tăng, giảm các khoản phải thu",09,,204.726.135.709,(73.358.441.862),,9.0,,204726135709.0,-73358441862.0
-,2. > -,-,"Tăng, giảm hàng tồn kho",10,,108.714.963.271,(171.271.075.644),,10.0,,108714963271.0,-171271075644.0
-,2. > -,-,"Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",11,,(116.676.795.176),(160.507.350),,11.0,,-116676795176.0,-160507350.0
-,2. > -,-,"Tăng, giảm chi phí trả trước",12,,(1.688.756.759),(2.453.376.419),,12.0,,-1688756759.0,-2453376419.0
-,2. > -,-,"Tăng, giảm chứng khoán kinh doanh",13,,(24.400.000),-,,13.0,,-24400000.0,
-,2. > -,-,Tiền lãi vay đã trả,14,,(18.442.308.552),(18.897.636.249),,14.0,,-18442308552.0,-18897636249.0
-,2. > -,-,Thuế thu nhập doanh nghiệp đã nộp,15,,(73.004.811.791),(11.672.792.879),,15.0,,-73004811791.0,-11672792879.0
-,2. > -,-,Tiền chi khác cho hoạt động kinh doanh,17,,(24.907.426.100),(5.777.928.000),,17.0,,-24907426100.0,-5777928000.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,452.624.649.308,(90.124.658.515),,20.0,,452624649308.0,-90124658515.0
II.,II.,II.,Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,
1.,II. > 1.,1.,"Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",21,,(6.795.372.669),(25.971.849.928),,21.0,,-6795372669.0,-25971849928.0
2.,II. > 2.,2.,"Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",22,,-,124.688.158.697,,22.0,,,124688158697.0
3.,II. > 3.,3.,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",23,,(668.500.000.000),(130.000.000.000),,23.0,,-668500000000.0,-130000000000.0
4.,II. > 4.,4.,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",24,,517.500.000.000,400.000.000.000,,24.0,,517500000000.0,400000000000.0
5.,II. > 5.,5.,Tiền chi đầu tư góp vốn vào đơn vị khác,25,,(1.149.370.000.000),(167.000.000.000),,25.0,,-1149370000000.0,-167000000000.0
6.,II. > 6.,6.,Tiền thu hồi đầu tư góp vốn vào các đơn vị khác,26,,24.400.000,-,,26.0,,24400000.0,
7.,II. > 7.,7.,"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",27,,101.872.377.606,107.781.218.086,,27.0,,101872377606.0,107781218086.0
,,,Lưu chuyển tiền thuần từ hoạt động đầu tư,30,,(1.205.268.595.063),309.497.526.855,,30.0,,-1205268595063.0,309497526855.0
III.,III.,III.,Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,
1.,III. > 1.,1.,"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",31,,1.029.359.940.000,-,,31.0,,1029359940000.0,
2.,III. > 2.,2.,Tiền thu từ đi vay,33,,1.339.037.579.255,966.462.299.649,,33.0,,1339037579255.0,966462299649.0
3.,III. > 3.,3.,Tiền trả nợ gốc vay,34,,(1.478.133.271.119),(1.012.546.928.884),,34.0,,-1478133271119.0,-1012546928884.0
4.,III. > 4.,4.,"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,,(154.403.991.000),(154.412.997.000),,36.0,,-154403991000.0,-154412997000.0
,,,Lưu chuyển tiền thuần từ hoạt động tài chính,40,,735.860.257.136,(200.497.626.235),,40.0,,735860257136.0,-200497626235.0
,,,Lưu chuyển tiền thuần trong kỳ (50=20+30+40),50,,(16.783.688.619),18.875.242.105,,50.0,,-16783688619.0,18875242105.0
