row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,31/12/2019,Đơn vị tính: VND01/01/2019,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019,numeric__Đơn vị tính: VND01/01/2019
C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,C. NỘ PHẢI TRẢ,300,,543.286.757.529,688.030.808.971,300.0,,543286757529.0,688030808971.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,436.356.515.948,448.167.527.023,310.0,,436356515948.0,448167527023.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,V.12.,45.670.430.147,29.797.204.751,311.0,,45670430147.0,29797204751.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,V.13.,36.817.766.044,26.426.790.769,312.0,,36817766044.0,26426790769.0
3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,3. Thuế và các khoản phải nộp nhà nước,313,V.14.,27.718.158.984,34.673.829.166,313.0,,27718158984.0,34673829166.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,2.155.393.863,4.925.358.664,314.0,,2155393863.0,4925358664.0
5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,5. Chi phí phải trả ngắn hạn,315,V.15.,15.612.489.546,15.249.902.007,315.0,,15612489546.0,15249902007.0
6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,6. Doanh thu chưa thực hiện ngắn hạn,318,V.17.,4.138.052.034,14.260.454.995,318.0,,4138052034.0,14260454995.0
7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,7. Phải trả ngắn hạn khác,319,V.18.,33.907.372.490,36.260.990.102,319.0,,33907372490.0,36260990102.0
8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,8. Vay và nợ thuê tài chính ngắn hạn,320,V.16.,248.433.754.139,260.283.446.003,320.0,,248433754139.0,260283446003.0
9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,9. Quỹ khen thưởng phúc lợi,322,,21.903.098.701,26.289.550.566,322.0,,21903098701.0,26289550566.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,106.930.241.581,239.863.281.948,330.0,,106930241581.0,239863281948.0
1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,1. Doanh thu chưa thực hiện dài hạn,336,V.17.,82.257.548.858,85.522.603.210,336.0,,82257548858.0,85522603210.0
2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,2. Phải trả dài hạn khác,337,V.18.,10.352.572.723,98.474.558.738,337.0,,10352572723.0,98474558738.0
3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,3. Vay và nợ thuê tài chính dài hạn,338,V.16.,14.320.120.000,55.866.120.000,338.0,,14320120000.0,55866120000.0
D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,D. VỐN CHỦ SỞ HỮU,400,,3.018.498.907.558,1.864.467.580.038,400.0,,3018498907558.0,1864467580038.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,V.19,3.018.498.907.558,1.864.467.580.038,410.0,,3018498907558.0,1864467580038.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,2.573.399.850.000,1.544.039.910.000,411.0,,2573399850000.0,1544039910000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,2.573.399.850.000,1.544.039.910.000,,,2573399850000.0,1544039910000.0
2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,2. Quỹ đầu tư phát triển,418,,71.645.487.894,61.385.000.777,418.0,,71645487894.0,61385000777.0
3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,3. Lợi nhuận sau thuế chưa phân phối,421,,373.453.569.664,259.042.669.261,421.0,,373453569664.0,259042669261.0
- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,- LNST chưa phân phối lũy kế đến cuối năm trước,421a,,73.857.216.909,53.832.926.917,,,73857216909.0,53832926917.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,299.596.352.755,205.209.742.344,,,299596352755.0,205209742344.0
II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,II. Nguồn kinh phí và quỹ khác,430,,-,-,430.0,,,
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,3.561.785.665.087,2.552.498.389.009,440.0,,3561785665087.0,2552498389009.0
