row_label_raw,row_label_full,col_0,Mẫu số B 09 - DN,Mẫu số B 09 - DN_1,numeric__Mẫu số B 09 - DN,numeric__Mẫu số B 09 - DN_1
BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),BẢN THUYẾT MINH BÁO CÁO TÀI CHÍNH (tiếp theo),,
(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo),,
Công ty CP Đầu tư và Phát triển Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,11.119.647.650,823.900,11119647650.0,823900.0
Công ty CP Du lịch C.E.O,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Du lịch C.E.O,Công ty CP Du lịch C.E.O,615.432.722,1.178.703.151,615432722.0,1178703151.0
Công ty Cổ phần Đầu tư và Phát triển Nam Cần Thơ,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty Cổ phần Đầu tư và Phát triển Nam Cần Thơ,Công ty Cổ phần Đầu tư và Phát triển Nam Cần Thơ,4.207.333.308,-,4207333308.0,
Công ty CP Phát triển nhà và đô thị Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,724.258.600,-,724258600.0,
Công ty TNHH MTV Phú Kiên Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,779.154.516,6.557.493.869,779154516.0,6557493869.0
Đoàn Văn Minh,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Đoàn Văn Minh,Đoàn Văn Minh,5.865.706.000,11.262.783.634,5865706000.0,11262783634.0
Phải thu khác,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Phải thu khác,Phải thu khác,6.633.356.942,68.356.690.242,6633356942.0,68356690242.0
Công ty CP Đầu tư và Phát triển Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,6.440.725.000,6.447.128.000,6440725000.0,6447128000.0
Công ty CP Phát triển nhà và đô thị Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Phát triển nhà và đô thị Phú Quốc,Công ty CP Phát triển nhà và đô thị Phú Quốc,38.563.000,61.903.080.242,38563000.0,61903080242.0
Công ty TNHH MTV Phú Kiên Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty TNHH MTV Phú Kiên Phú Quốc,Công ty TNHH MTV Phú Kiên Phú Quốc,154.068.942,6.482.000,154068942.0,6482000.0
Phải trả người bán,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Phải trả người bán,Phải trả người bán,4.025.244.440,3.612.097.189,4025244440.0,3612097189.0
Công ty CP Đầu tư và Phát triển Phú Quốc,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Đầu tư và Phát triển Phú Quốc,Công ty CP Đầu tư và Phát triển Phú Quốc,-,177.225.000,,177225000.0
Công ty CP Du Lịch C.E.O,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty CP Du Lịch C.E.O,Công ty CP Du Lịch C.E.O,939.554.265,493.056.532,939554265.0,493056532.0
Công ty TNHH C.E.O Quốc tế,(Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo) > Công ty TNHH C.E.O Quốc tế,Công ty TNHH C.E.O Quốc tế,-,98.951.475,,98951475.0
