row_label_raw,row_label_full,col_0,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộngTriệu đồng,numeric__Quá hạnTriệu đồng,numeric__Khôngchịu lãiTriệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộngTriệu đồng
,,,Quá hạnTriệu đồng,Khôngchịu lãiTriệu đồng,Dếnt 1thángTriệu đồng,Từ 1 đến 3thángTriệu đồng,Từ 3 đến 6thángTriệu đồng,Từ 6 đến 12thángTriệu đồng,Từ 1 đến 5nămTriệu đồng,Trên 5 nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,7.856.774,-,-,-,-,-,-,7.856.774,,7856774.0,,,,,,,7856774.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,10.114.237,-,-,-,-,-,10.114.237,,,10114237.0,,,,,,10114237.0
Tiền gửi tại và cho vaycác TCTD khác,Tài sản > Tiền gửi tại và cho vaycác TCTD khác,Tiền gửi tại và cho vaycác TCTD khác,,-,10.798.919,300.000,-,-,-,-,11.098.919,,,10798919.0,300000.0,,,,,11098919.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,6.489.316,-,132.677.881,228.676.095,483.566,895.310,3.891.334,5.939.056,379.052.558,6489316.0,,132677881.0,228676095.0,483566.0,895310.0,3891334.0,5939056.0,379052558.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,-,-,285.967,-,-,-,-,285.967,,,,285967.0,,,,,285967.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,23.733.549,3.261.137,1.701.093,1.510.598,2.169.230,24.203.498,19.101.537,75.680.642,,23733549.0,3261137.0,1701093.0,1510598.0,2169230.0,24203498.0,19101537.0,75680642.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,3.625.298,-,-,-,-,-,-,3.625.298,,3625298.0,,,,,,,3625298.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,7.877.538,-,-,-,-,-,-,7.877.538,,7877538.0,,,,,,,7877538.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,2.056.608,33.886.384,-,-,-,-,-,-,35.942.992,2056608.0,33886384.0,,,,,,,35942992.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,8.545.924,76.979.543,156.852.174,230.963.155,1.994.164,3.064.540,28.094.832,25.040.593,531.534.925,8545924.0,76979543.0,156852174.0,230963155.0,1994164.0,3064540.0,28094832.0,25040593.0,531534925.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,452.850,69.895,-,-,-,-,522.745,,,452850.0,69895.0,,,,,522745.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,9.121.698,5.452.794,2.661.563,40.228,-,-,17.276.283,,,9121698.0,5452794.0,2661563.0,40228.0,,,17276283.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,754.117,185.560.380,76.072.325,77.084.230,69.884.410,12.490.076,20.079,421.865.617,,754117.0,185560380.0,76072325.0,77084230.0,69884410.0,12490076.0,20079.0,421865617.0
Các công cụ tài chính phải sinhvà các nợ tài chính khác,Nợ phải trả > Các công cụ tài chính phải sinhvà các nợ tài chính khác,Các công cụ tài chính phải sinhvà các nợ tài chính khác,-,108.003,-,-,-,-,-,-,108.003,,108003.0,,,,,,,108003.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,648.772,3.758.873,6.422.182,7.260.352,3.013.600,-,21.103.779,,,648772.0,3758873.0,6422182.0,7260352.0,3013600.0,,21103779.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,21.323.133,-,-,-,-,-,-,21.323.133,,21323133.0,,,,,,,21323133.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,22.185.253,195.783.700,85.353.887,86.167.975,77.184.990,15.503.676,20.079,482.199.560,,22185253.0,195783700.0,85353887.0,86167975.0,77184990.0,15503676.0,20079.0,482199560.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,8.545.924,54.794.290,(38.931.526),145.609.268,(84.173.811),(74.120.450),12.591.156,25.020.514,49.335.365,8545924.0,54794290.0,-38931526.0,145609268.0,-84173811.0,-74120450.0,12591156.0,25020514.0,49335365.0
