row_label_raw,row_label_full,col_0,Vốn điều lệTriệu đồng,Vốn đầu tưXDCB vàmua sắmTSCĐTriệu đồng,Thặng dưvốn cốphầnTriệu đồng,Cổ phiếuquỹTriệu đồng,Vốn khácTriệu đồng,Quỹdự phòngtải chínhTriệu đồng,Quỹ dự trữbổ sungvốn điều lệTriệu đồng,Quỹ đầu tưphát triểnTriệu đồng,Chênh lệchty giáhối đoáiTriệu đồng,Lợi nhuậnchưaphân phốiTriệu đồng,Tổng cộngTriệu đồng,numeric__Vốn điều lệTriệu đồng,numeric__Vốn đầu tưXDCB vàmua sắmTSCĐTriệu đồng,numeric__Thặng dưvốn cốphầnTriệu đồng,numeric__Cổ phiếuquỹTriệu đồng,numeric__Vốn khácTriệu đồng,numeric__Quỹdự phòngtải chínhTriệu đồng,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu đồng,numeric__Quỹ đầu tưphát triểnTriệu đồng,numeric__Chênh lệchty giáhối đoáiTriệu đồng,numeric__Lợi nhuậnchưaphân phốiTriệu đồng,numeric__Tổng cộngTriệu đồng
Số đầu năm,Số đầu năm,Số đầu năm,18.852.157,1.121,63.612,(750.911),653,1.861.991,1.102.549,83.479,118.046,6.894.717,28.227.414,18852157.0,1121.0,63612.0,-750911.0,653.0,1861991.0,1102549.0,83479.0,118046.0,6894717.0,28227414.0
Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,Lợi nhuận thuàntrong năm,-,-,-,-,-,-,-,-,-,3.445.783,3.445.783,,,,,,,,,,3445783.0,3445783.0
Trích lập các quỹcho năm trước,Trích lập các quỹcho năm trước,Trích lập các quỹcho năm trước,-,-,-,-,-,226.489,119.205,-,-,(345.694),-,,,,,,226489.0,119205.0,,,-345694.0,
"Bán cổ phiếu quỹTrích lập Quỹkhen thưởng,phúc lợi","Bán cổ phiếu quỹTrích lập Quỹkhen thưởng,phúc lợi","Bán cổ phiếu quỹTrích lập Quỹkhen thưởng,phúc lợi",-,-,1.684.039,750.911,-,-,-,-,-,-,2.434.950,,,1684039.0,750911.0,,,,,,,2434950.0
Số cuối năm,Số cuối năm,Số cuối năm,18.852.157,1.121,1.747.651,-,653,2.088.480,1.221.754,83.479,118.046,9.587.124,33.700.465,18852157.0,1121.0,1747651.0,,653.0,2088480.0,1221754.0,83479.0,118046.0,9587124.0,33700465.0
