row_label_raw,row_label_full,Bến liên quan,Các giao dịch,Năm nayTriệu đồng,Năm trướcTriệu đồng,numeric__Các giao dịch,numeric__Năm nayTriệu đồng,numeric__Năm trướcTriệu đồng
Các công ty con,Các công ty con,Các công ty con,Thu nhập lãi cho vay/tiền gửi,95.337,31.772,,95337.0,31772.0
Các công ty con,Các công ty con,Các công ty con,Chi phí trả lãi tiền vay/tiền gửi,(30.161),(32.661),,-30161.0,-32661.0
Các công ty con,Các công ty con,Các công ty con,Thu nhập từ hoạt động dịch vụ,10.776,10.359,,10776.0,10359.0
Các công ty con,Các công ty con,Các công ty con,Chi phí hoạt động dịch vụ,(13.386),(13.472),,-13386.0,-13472.0
Các công ty con,Các công ty con,Các công ty con,Chi phí từ hoạt động,,,,,
Các công ty con,Các công ty con > Các công ty con,Các công ty con,kính doanh ngoại hồi,(1.703),(1.638),,-1703.0,-1638.0
Các công ty con,Các công ty con > Các công ty con,Các công ty con,Thu nhập từ cổ tức,-,47.230,,,47230.0
Các công ty con,Các công ty con > Các công ty con,Các công ty con,Thu nhập từ hoạt động khác,37.023,37.177,,37023.0,37177.0
Các công ty con,Các công ty con > Các công ty con,Các công ty con,Chi phí hoạt động khác,-,(1.960),,,-1960.0
Các thành viên của Ban lãnh đạo,Các công ty con > Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền gửi,(5.268),(7.923),,-5268.0,-7923.0
Các thành viên của Ban lãnh đạo,Các công ty con > Các thành viên của Ban lãnh đạo,Các thành viên của Ban lãnh đạo,Thu nhập từ hoạt động dịch vụ,46,41,,46.0,41.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Chi phí hoạt động khác,-,(40),,,-40.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Thủ lao sau thuế của thành viên Hội đồng Quản trị,(23.926),(21.708),,-23926.0,-21708.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Thủ lao sau thuế của thành viên Ban Kiểm soát,(7.975),(7.236),,-7975.0,-7236.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Thu nhập sau thuế của thành viên Ban Tổng Giám đốc,(53.670),(46.780),,-53670.0,-46780.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các công ty con > Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập lãi tiền gửi/cho vay,3.306,1.829,,3306.0,1829.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các công ty con > Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Chi phí trả lãi tiền vay/tiền gửi,(8.082),(5.949),,-8082.0,-5949.0
Các bên liên quan đến các thành viên của Ban lãnh đạo,Các công ty con > Các bên liên quan đến các thành viên của Ban lãnh đạo,Các bên liên quan đến các thành viên của Ban lãnh đạo,Thu nhập từ hoạt động dịch vụ,142,188,,142.0,188.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Thu nhập khác,-,254,,,254.0
Ngân hàng,Các công ty con > Ngân hàng,Ngân hàng,Chi phí hoạt động khác,(3.622),-,,-3622.0,
