row_label_raw,row_label_full,Công ty,Giấy chứng nhận đăng ký doanh nghiệp/ Giấy phép thành lập,Hoạt động chính,Tỷ lệ lợi ích về quyền biểu quyết của Ngân hàng,numeric__Giấy chứng nhận đăng ký doanh nghiệp/ Giấy phép thành lập,numeric__Hoạt động chính,numeric__Tỷ lệ lợi ích về quyền biểu quyết của Ngân hàng
Công ty TNHH MTV Quản lý nợ và khai thác tài sản Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Quản lý nợ và khai thác tài sản Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Quản lý nợ và khai thác tài sản Ngân hàng Sài Gòn Thương Tín,4104000053,Quản lý tài sản,100%,4104000053.0,,1.0
Công ty TNHH MTV Cho thuê tài chính Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Cho thuê tài chính Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Cho thuê tài chính Ngân hàng Sài Gòn Thương Tín,65a/GP-NHNN,Huy động vốn và hoạt động cho thuê tài chính,100%,,,1.0
Công ty TNHH MTV Kiều hối Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Kiều hối Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Kiều hối Ngân hàng Sài Gòn Thương Tín,0304242674,"Dịch vụ nhận và chỉ trả ngoại tệ, đại lý đối ngoại tệ",100%,304242674.0,,1.0
Công ty TNHH MTV Vàng bạc đá quỹ Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Vàng bạc đá quỹ Ngân hàng Sài Gòn Thương Tín,Công ty TNHH MTV Vàng bạc đá quỹ Ngân hàng Sài Gòn Thương Tín,0305584790,"Bán lẻ vàng, bạc và bán đá quý, đồ trang sức; giám định thương mại; mua bán vàng, gia công sản xuất vàng trang sức mỹ nghệ",100%,305584790.0,,1.0
Ngân hàng Cổ phần hữu hạn Sài Gòn Thương Tín Campuchia,Ngân hàng Cổ phần hữu hạn Sài Gòn Thương Tín Campuchia,Ngân hàng Cổ phần hữu hạn Sài Gòn Thương Tín Campuchia,N.27,Hoạt động ngân hàng,100%,,,1.0
Ngân hàng TNHH Sài Gòn Thương Tín Lào,Ngân hàng TNHH Sài Gòn Thương Tín Lào,Ngân hàng TNHH Sài Gòn Thương Tín Lào,15/NHNN,Hoạt động ngân hàng,100%,,,1.0
