row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > Số đầu năm,Năm trướcTriệu đồng > Số đầu năm,numeric__Năm nayTriệu đồng > Số đầu năm,numeric__Năm trướcTriệu đồng > Số đầu năm
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,24.326,103.388,24326.0,103388.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,4.369.358,3.936.323,4369358.0,3936323.0
,,,4.393.684,4.039.711,4393684.0,4039711.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,(15.246),(79.062),-15246.0,-79062.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
- Dự phòng giảm giá chứng khoán nợ đã niêm yết và chứng khoán vốn sẵn sàng để bán,Trong đó: > - Dự phòng giảm giá chứng khoán nợ đã niêm yết và chứng khoán vốn sẵn sàng để bán,- Dự phòng giảm giá chứng khoán nợ đã niêm yết và chứng khoán vốn sẵn sàng để bán,(7.746),(86.562),-7746.0,-86562.0
- Dự phòng chung chứng khoán nợ chưa niêm yết,Trong đó: > - Dự phòng chung chứng khoán nợ chưa niêm yết,- Dự phòng chung chứng khoán nợ chưa niêm yết,(7.500),7.500,-7500.0,7500.0
Trái phiếu đặc biệt do VAMC phát hành,Trong đó: > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,1.653.067,470.857,1653067.0,470857.0
,,,1.637.821,391.795,1637821.0,391795.0
Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,Số dự phòng đã sử dụng để xử lý rủi ro,,
Trái phiếu đặc biệt do VAMC phát hành,Số dự phòng đã sử dụng để xử lý rủi ro > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,(37.822),,-37822.0
Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,Số cuối năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số cuối năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,9.080,24.326,9080.0,24326.0
Trái phiếu đặc biệt do VAMC phát hành,Số cuối năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,6.022.425,4.369.358,6022425.0,4369358.0
,,,6.031.505,4.393.684,6031505.0,4393684.0
