row_label_raw,row_label_full,col_0,EURđược quy đốiTriệu đồng,USDđược quy đốiTriệu đồng,Vàngđược quy đốiTriệu đồng,Các ngoại tệ khácđược quy đốiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đốiTriệu đồng,numeric__USDđược quy đốiTriệu đồng,numeric__Vàngđược quy đốiTriệu đồng,numeric__Các ngoại tệ khácđược quy đốiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,191.886,1.334.006,157.778,352.337,2.036.007,191886.0,1334006.0,157778.0,352337.0,2036007.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,1.632,760.389,-,-,762.021,1632.0,760389.0,,,762021.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,63.528,2.071.076,-,750.645,2.885.249,63528.0,2071076.0,,750645.0,2885249.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.445,10.179.626,600.575,1.404,10.786.050,4445.0,10179626.0,600575.0,1404.0,10786050.0
Hoạt động mua nợ - gộp,Tài sản > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,-,285.967,-,-,285.967,,285967.0,,,285967.0
Tải sản Có khác - gộp,Tài sản > Tải sản Có khác - gộp,Tải sản Có khác - gộp,3.690,2.281.350,12,38.863,2.323.915,3690.0,2281350.0,12.0,38863.0,2323915.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,265.181,16.912.414,758.365,1.143.249,19.079.209,265181.0,16912414.0,758365.0,1143249.0,19079209.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,7.620,8.177.911,-,291.456,8.476.987,7620.0,8177911.0,,291456.0,8476987.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,246.117,8.965.430,-,412.621,9.624.168,246117.0,8965430.0,,412621.0,9624168.0
Công cụ tài chính phải sinh và các nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Công cụ tài chính phải sinh và các nợ tài chính khác,Công cụ tài chính phải sinh và các nợ tài chính khác,1.387,1.149.028,-,247.343,1.397.758,1387.0,1149028.0,,247343.0,1397758.0
Phát hành giấy tờ có giá,Nợ phải trả và vốn chủ sở hữu > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,5,-,-,5,,5.0,,,5.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,3.921,197.394,-,7.189,208.504,3921.0,197394.0,,7189.0,208504.0
Tổng nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu > Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,259.045,18.489.768,-,958.609,19.707.422,259045.0,18489768.0,,958609.0,19707422.0
Trạng thái tiền tệ nội bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bảng,Trạng thái tiền tệ nội bảng,6.136,(1.577.354),758.365,184.640,(628.213),6136.0,-1577354.0,758365.0,184640.0,-628213.0
Trạng thái tiền tệ ngoại bảng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bảng,Trạng thái tiền tệ ngoại bảng,(6.461),(143.079),(118.372),(79.152),(347.064),-6461.0,-143079.0,-118372.0,-79152.0,-347064.0
"Trạng thái tiền tệ nội, ngoại bảng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bảng","Trạng thái tiền tệ nội, ngoại bảng",(325),(1.720.433),639.993,105.488,(975.277),-325.0,-1720433.0,639993.0,105488.0,-975277.0
