row_label_raw,row_label_full,col_0,Trong nướcTriệu đồng,Nước ngoàiTriệu đồng,Tổng cộngTriệu đồng,numeric__Trong nướcTriệu đồng,numeric__Nước ngoàiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,Tài sản tại ngày 31 tháng 12 năm 2021,,,
Tiền gửi tại và cho vay các TCTD khác,Tài sản tại ngày 31 tháng 12 năm 2021 > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,8.405.647,2.693.272,11.098.919,8405647.0,2693272.0,11098919.0
Cho vay khách hàng - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,379.052.558,-,379.052.558,379052558.0,,379052558.0
Hoạt động mua nợ - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Hoạt động mua nợ - gộp,Hoạt động mua nợ - gộp,285.967,-,285.967,285967.0,,285967.0
Chứng khoán đầu tư - gộp,Tài sản tại ngày 31 tháng 12 năm 2021 > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,75.680.642,-,75.680.642,75680642.0,,75680642.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản tại ngày 31 tháng 12 năm 2021 > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",1.162.014,2.463.284,3.625.298,1162014.0,2463284.0,3625298.0
Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021,,,
Các khoản nợ NHNN Việt Nam,Công nợ tại ngày 31 tháng 12 năm 2021 > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,522.745,-,522.745,522745.0,,522745.0
Tiền gửi và vay các TCTD khác,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,13.060.708,4.215.575,17.276.283,13060708.0,4215575.0,17276283.0
Tiền gửi của khách hàng,Công nợ tại ngày 31 tháng 12 năm 2021 > Tiền gửi của khách hàng,Tiền gửi của khách hàng,420.374.377,1.491.240,421.865.617,420374377.0,1491240.0,421865617.0
Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Công nợ tại ngày 31 tháng 12 năm 2021 > Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),Các công cụ tài chính phải sinh(Tổng giá trị giao dịch theo hợp đồng),45.883.573,-,45.883.573,45883573.0,,45883573.0
Phát hành giấy tờ có giá,Công nợ tại ngày 31 tháng 12 năm 2021 > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21.103.779,-,21.103.779,21103779.0,,21103779.0
Cam kết ngoại bảng tạingày 31 tháng 12 năm 2021,Công nợ tại ngày 31 tháng 12 năm 2021 > Cam kết ngoại bảng tạingày 31 tháng 12 năm 2021,Cam kết ngoại bảng tạingày 31 tháng 12 năm 2021,105.542.605,260.244,105.802.849,105542605.0,260244.0,105802849.0
