row_label_raw,row_label_full,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Tài sảnTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021,numeric__Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm) > Nợ phải trảTriệu đồng > Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2021
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,3.167.871,513,-,3167871.0,513.0,
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,42.715.702,-,108.516,42715702.0,,108516.0
,,,45.883.573,513,108.516,45883573.0,513.0,108516.0
Số thuần,Số thuần,Số thuần,,,108.003,,,108003.0
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng,Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm),Giá trị ghi số kế toán ròng (theo tỷ giá tại ngày cuối năm),,,
,,,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng,Tài sảnTriệu đồng,Nợ phải trảTriệu đồng,,,
Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020,,,
Giao dịch kỳ hạn tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,5.597.955,8.385,-,5597955.0,8385.0,
Giao dịch hoán đổi tiền tệ,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,26.184.684,11.292,-,26184684.0,11292.0,
,,,31.782.639,19.677,-,31782639.0,19677.0,
Số thuần,Công cụ tài chính phải sinh tiền tệ tại ngày 31 tháng 12 năm 2020 > Số thuần,Số thuần,,19.677,,,19677.0,
