row_label_raw,row_label_full,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_1,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_2,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_3,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_4,44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_5,numeric__44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_1,numeric__44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_2,numeric__44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_3,numeric__44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_4,numeric__44 . BÁO CÁO BỘ PHẠNTheo lĩnh vực kinh doanh_5
,,,"Sản xuất, kinh doanh thương mại, dịch vụ",Kinh doanh hạ tầng khu công nghiệp,Các hoạt động khác,Tổng cộng các bộ phận,Tổng cộng toàn doanh nghiệp,,,,,
,,,VND,VND,VND,VND,VND,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,925.158.013.901,121.289.668.842,-,1.046.447.682.743,1.046.447.682.743,925158013901.0,121289668842.0,,1046447682743.0,1046447682743.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,245.858.627.730,100.128.898.704,-,345.987.526.434,345.987.526.434,245858627730.0,100128898704.0,,345987526434.0,345987526434.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,14.304.661.929,39.840.454.916,-,54.145.116.845,54.145.116.845,14304661929.0,39840454916.0,,54145116845.0,54145116845.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,4.362.059.076.859,1.275.410.109.830,-,5.637.469.186.689,5.637.469.186.689,4362059076859.0,1275410109830.0,,5637469186689.0,5637469186689.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,4.362.059.076.859,1.275.410.109.830,-,5.637.469.186.689,5.637.469.186.689,4362059076859.0,1275410109830.0,,5637469186689.0,5637469186689.0
Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,Nợ phải trả của các bộ phận,947.395.676.008,531.489.246.269,-,1.478.884.922.277,1.478.884.922.277,947395676008.0,531489246269.0,,1478884922277.0,1478884922277.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,,,,183.774.077.644,183.774.077.644,,,,183774077644.0,183774077644.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,947.395.676.008,531.489.246.269,-,1.662.658.999.921,1.662.658.999.921,947395676008.0,531489246269.0,,1662658999921.0,1662658999921.0
