row_label_raw,row_label_full,col_0,Vốn đầu tư củaChủ sở hữu,Vốn khác củaChủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giáhối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư củaChủ sở hữu,numeric__Vốn khác củaChủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giáhối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VNI,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),(176.349.894.433),63.703.539.966,725.688.007.574,391.649.417.898,3.981.170.895.03,3000000000000.0,11949349305.0,-35469525274.0,-176349894433.0,63703539966.0,725688007574.0,391649417898.0,398117089503.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,79.251.720.741,45.385.592.301,124.637.313.04,,,,,,79251720741.0,45385592301.0,12463731304.0
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,-,(90.000.000.000),-,(90.000.000.000),,,,,,-90000000000.0,,-90000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,4.099.776.761,(4.099.776.761),,,,,,,4099776761.0,-4099776761.0,,
"Trích thù lao HĐQT, BKS","Trích thù lao HĐQT, BKS","Trích thù lao HĐQT, BKS",-,-,-,-,-,(1.296.000.000),-,(1.296.000.000),,,,,,-1296000000.0,,-1296000000.0
Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,-,-,-,-,-,(216.000.000),-,(216.000.000),,,,,,-216000000.0,,-216000000.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,(3.463.270.333),(751.624.132),(4.214.894.465,,,,,,-3463270333.0,-751624132.0,
Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,-,-,-,12.518.994.354,-,-,8.152.930.680,20.671.925.03,,,,12518994354.0,,,8152930680.0,2067192503.0
Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(21.694.634.088),-,(21.694.634.088),,,,,,-21694634088.0,,-21694634088.0
Giảm khác,Giảm khác,Giảm khác,-,-,-,-,-,(22.748.089.019),(1.029.000.000),(23.777.089.019),,,,,,-22748089019.0,-1029000000.0,-23777089019.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),(163.830.900.079),67.803.316.727,661.421.958.114,443.407.316.747,3.985.281.515.54,3000000000000.0,11949349305.0,-35469525274.0,-163830900079.0,67803316727.0,661421958114.0,443407316747.0,398528151554.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,11.949.349.305,(35.469.525.274),(163.830.900.079),67.803.316.727,661.421.958.114,443.407.316.747,3.985.281.515.54,3000000000000.0,11949349305.0,-35469525274.0,-163830900079.0,67803316727.0,661421958114.0,443407316747.0,398528151554.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,91.103.089.509,41.746.344.241,132.849.433.75,,,,,,91103089509.0,41746344241.0,13284943375.0
Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),Trích quỹ đầu tư phát triển (*),-,-,-,-,21.016.183.144,(21.016.183.144),-,,,,,,21016183144.0,-21016183144.0,,
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,-,-,(90.000.000.000),(20.976.384.000),(110.976.384.000),,,,,,-90000000000.0,-20976384000.0,-110976384000.0
"Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban điều hành và các khoản phân phối lợi nhuận khác (*)","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban điều hành và các khoản phân phối lợi nhuận khác (*)","Trích quỹ khen thưởng phúc lợi, quỹ thưởng Ban điều hành và các khoản phân phối lợi nhuận khác (*)",-,-,-,-,-,(7.546.423.468),(4.742.297.902),(12.288.721.370,,,,,,-7546423468.0,-4742297902.0,
"Thù lao Hội đồng Quản trị, Ban Kiểm soát, Thư ký HĐQT (*)","Thù lao Hội đồng Quản trị, Ban Kiểm soát, Thư ký HĐQT (*)","Thù lao Hội đồng Quản trị, Ban Kiểm soát, Thư ký HĐQT (*)",-,-,-,-,-,(1.900.800.000),-,(1.900.800.000),,,,,,-1900800000.0,,-1900800000.0
Thuế lợi tức phải nộp tại CHDCND Lào,Thuế lợi tức phải nộp tại CHDCND Lào,Thuế lợi tức phải nộp tại CHDCND Lào,-,-,-,-,-,(12.811.479.358),(12.309.068.403),(25.120.547.761,,,,,,-12811479358.0,-12309068403.0,
Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,Chênh lệch tỷ giá do chuyển đổi BCTC,-,-,-,14.818.833.093,-,-,10.057.472.388,24.876.305.48,,,,14818833093.0,,,10057472388.0,2487630548.0
Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(22.135.332.178),-,(22.135.332.178,,,,,,-22135332178.0,,
Thay đổi lợi ích trong các khoản đầu tư,Thay đổi lợi ích trong các khoản đầu tư,Thay đổi lợi ích trong các khoản đầu tư,-,-,-,-,-,8.829.742.860,-,8.829.742.86,,,,,,8829742860.0,,882974286.0
Thuế TNDN bổ sung,Thuế TNDN bổ sung,Thuế TNDN bổ sung,-,-,-,-,-,(4.605.025.554),-,(4.605.025.554,,,,,,-4605025554.0,,
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,11.949.349.305,(35.469.525.274),(149.012.066.986),88.819.499.871,601.339.546.781,457.183.383.071,3.974.810.186.76,3000000000000.0,11949349305.0,-35469525274.0,-149012066986.0,88819499871.0,601339546781.0,457183383071.0,397481018676.0
