row_label_raw,row_label_full,Phân phối lợi nhuận,Tại Công ty mẹ (1),Các công ty con phân phối cho > Công ty mẹ,Các công ty con phân phối cho > Cổ đông khôngkiểm soát (2),Cộng(3) = (1) + (2),Trong đó đã tạmphân phối trongnăm 2024,numeric__Tại Công ty mẹ (1),numeric__Các công ty con phân phối cho > Công ty mẹ,numeric__Các công ty con phân phối cho > Cổ đông khôngkiểm soát (2),numeric__Cộng(3) = (1) + (2),numeric__Trong đó đã tạmphân phối trongnăm 2024
,,,VND,VND,VND,VND,VND,,,,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,2.585.681.172,-,18.430.501.972,21.016.183.144,,2585681172.0,,18430501972.0,21016183144.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,2.585.681.172,4.960.742.296,4.742.297.902,7.327.979.074,-,2585681172.0,4960742296.0,4742297902.0,7327979074.0,
"Trích thù lao HĐQT, BKS, Thư ký TổngCông ty","Trích thù lao HĐQT, BKS, Thư ký TổngCông ty","Trích thù lao HĐQT, BKS, Thư ký TổngCông ty",1.900.800.000,-,-,1.900.800.000,-,1900800000.0,,,1900800000.0,
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,216.000.000,-,-,216.000.000,216.000.000,216000000.0,,,216000000.0,216000000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,90.000.000.000,130.183.295.660,20.976.384.000,110.976.384.000,-,90000000000.0,130183295660.0,20976384000.0,110976384000.0,
