row_label_raw,row_label_full,"Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_1","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_2","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_3","Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_4","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_1","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_2","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_3","numeric__Tổng Công ty Sản xuất - Xuất nhập khẩu Bình Dương - CTCPA128 đường 3/2, Khu phố Đông Tư, phường Lái Thiêu, Thành phố Hồ Chí Minh_4"
,,,Quyền sử dụng đất,Phần mềm,TSCĐ vô hình khác,Cộng,,,,
,,,VND,VND,VND,VND,,,,
Nguyên giáSố dư đầu năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giáSố dư đầu năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giáSố dư đầu năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,714.138.687.36199.946.000,4.820.211.91620.428.391,87.000.000-,719.045.899.277120.374.391,7.141386873619994e+19,4.820211916204284e+17,,7.190458992771204e+20
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,714.238.633.361,4.840.640.307,87.000.000,719.166.273.668,714238633361.0,4840640307.0,87000000.0,719166273668.0
Giá trị hao mòn lũy kếSố dư đầu năm- Khấu hao trong năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính- Chênh lệch đánh giá lại tài sản thực hiện trong năm,Giá trị hao mòn lũy kếSố dư đầu năm- Khấu hao trong năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính- Chênh lệch đánh giá lại tài sản thực hiện trong năm,Giá trị hao mòn lũy kếSố dư đầu năm- Khấu hao trong năm- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính- Chênh lệch đánh giá lại tài sản thực hiện trong năm,181.828.543.41023.396.173.09299.946.0002.628.833.440,4.011.937.131270.886.5695.924.263-,47.896.77417.400.000-,185.888.377.31523.684.459.661105.870.2632.628.833.440,1.8182854341023397e+40,,,1.8588837731523685e+41
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,207.953.495.942,4.288.747.963,65.296.774,212.307.540.679,207953495942.0,4288747963.0,65296774.0,212307540679.0
Giá trị còn lạiTại ngày đầu năm,Giá trị còn lạiTại ngày đầu năm,Giá trị còn lạiTại ngày đầu năm,532.310.143.951,808.274.785,39.103.226,533.157.521.962,532310143951.0,808274785.0,39103226.0,533157521962.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,506.285.137.419,551.892.344,21.703.226,506.858.732.989,506285137419.0,551892344.0,21703226.0,506858732989.0
