row_label_raw,row_label_full,col_0,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn","Thiết bị, dụng cụ quản lý",Tài sản cố định khác,Vườn cây lâu năm,Cộng,"numeric__Nhà cửa, vật kiến trúc","numeric__Máy móc, thiết bị","numeric__Phương tiện vận tải, truyền dẫn","numeric__Thiết bị, dụng cụ quản lý",numeric__Tài sản cố định khác,numeric__Vườn cây lâu năm,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,912.385.651.325,131.422.886.575,109.278.022.669,5.681.458.645,38.824.699.100,716.420.222.027,1.914.012.940.341,912385651325.0,131422886575.0,109278022669.0,5681458645.0,38824699100.0,716420222027.0,1914012940341.0
- Mua trong năm,Nguyên giá > - Mua trong năm,- Mua trong năm,84.262.860,5.606.822.204,7.217.338.046,526.592.334,600.000.000,-,14.035.015.444,84262860.0,5606822204.0,7217338046.0,526592334.0,600000000.0,,14035015444.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,4.775.978.013,-,-,-,706.850.090,-,5.482.828.103,4775978013.0,,,,706850090.0,,5482828103.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Nguyên giá > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,3.875.931.578,868.831.856,840.460.880,21.477.749,107.631.104,14.188.866.901,19.903.200.068,3875931578.0,868831856.0,840460880.0,21477749.0,107631104.0,14188866901.0,19903200068.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(34.211.220.560),(29.661.060.108),(8.066.607.960),(607.354.753),(1.470.000.000),-,(74.016.243.381),-34211220560.0,-29661060108.0,-8066607960.0,-607354753.0,-1470000000.0,,-74016243381.0
- Phân loại lại,Nguyên giá > - Phân loại lại,- Phân loại lại,-,150.118.378,(150.118.378),-,-,-,-,,150118378.0,-150118378.0,,,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,886.910.603.216,108.387.598.905,109.119.095.257,5.622.173.975,38.769.180.294,730.609.088.928,1.879.417.740.575,886910603216.0,108387598905.0,109119095257.0,5622173975.0,38769180294.0,730609088928.0,1879417740575.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,565.279.016.041,107.244.578.661,80.654.357.426,5.232.848.386,20.491.218.108,198.998.563.931,977.900.582.553,565279016041.0,107244578661.0,80654357426.0,5232848386.0,20491218108.0,198998563931.0,977900582553.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,25.651.739.010,5.857.163.405,6.002.377.956,385.903.505,3.745.231.229,23.039.531.066,64.681.946.171,25651739010.0,5857163405.0,6002377956.0,385903505.0,3745231229.0,23039531066.0,64681946171.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Giá trị hao mòn lũy kế > - Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,1.950.745.780,606.718.109,674.465.520,8.865.232,107.631.104,4.892.075.702,8.240.501.447,1950745780.0,606718109.0,674465520.0,8865232.0,107631104.0,4892075702.0,8240501447.0
"- Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(33.848.953.515),(28.088.402.902),(7.974.335.239),(607.354.753),(612.500.030),-,(71.131.546.439),-33848953515.0,-28088402902.0,-7974335239.0,-607354753.0,-612500030.0,,-71131546439.0
- Chênh lệch đánh giá lại tài sản thực hiện trong năm,Giá trị hao mòn lũy kế > - Chênh lệch đánh giá lại tài sản thực hiện trong năm,- Chênh lệch đánh giá lại tài sản thực hiện trong năm,2.167.117.322,403.430.795,841.217.867,-,-,17.086.548.921,20.498.314.905,2167117322.0,403430795.0,841217867.0,,,17086548921.0,20498314905.0
- Phân loại lại,Giá trị hao mòn lũy kế > - Phân loại lại,- Phân loại lại,2.807.278,147.311.099,(65.973.414),-,-,(84.144.963),-,2807278.0,147311099.0,-65973414.0,,,-84144963.0,
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,561.202.471.916,86.170.799.167,80.132.110.116,5.020.262.370,23.731.580.411,243.932.574.657,1.000.189.798.637,561202471916.0,86170799167.0,80132110116.0,5020262370.0,23731580411.0,243932574657.0,1000189798637.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,347.106.635.284,24.178.307.914,28.623.665.243,448.610.259,18.333.480.992,517.421.658.096,936.112.357.788,347106635284.0,24178307914.0,28623665243.0,448610259.0,18333480992.0,517421658096.0,936112357788.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,325.708.131.300,22.216.799.738,28.986.985.141,601.911.605,15.037.599.883,486.676.514.271,879.227.941.938,325708131300.0,22216799738.0,28986985141.0,601911605.0,15037599883.0,486676514271.0,879227941938.0
