row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị,dụng cụ quản lý",Đơn vi tính: VNDTổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Đơn vi tính: VNDTổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,15.546.155.013,1.437.176.091,13.002.769.204,2.867.367.720,32.853.468.028,15546155013.0,1437176091.0,13002769204.0,2867367720.0,32853468028.0
Giảm trong năm,NGUYÊN GIÁ > Giảm trong năm,Giảm trong năm,-,-,913.559.904,95.645.455,1.009.205.359,,,913559904.0,95645455.0,1009205359.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,913.559.904,95.645.455,1.009.205.359,,,913559904.0,95645455.0,1009205359.0
Số dư tại 31/12/2021,NGUYÊN GIÁ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,15.546.155.013,1.437.176.091,12.089.209.300,2.771.722.265,31.844.262.669,15546155013.0,1437176091.0,12089209300.0,2771722265.0,31844262669.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,7.879.523.967,1.437.176.091,9.600.473.046,2.839.049.846,21.756.222.950,7879523967.0,1437176091.0,9600473046.0,2839049846.0,21756222950.0
Tăng trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Tăng trong năm,Tăng trong năm,547.616.508,-,696.287.158,25.750.860,1.269.654.526,547616508.0,,696287158.0,25750860.0,1269654526.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,547.616.508,-,696.287.158,25.750.860,1.269.654.526,547616508.0,,696287158.0,25750860.0,1269654526.0
Giảm trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm trong năm,Giảm trong năm,-,-,913.559.904,95.645.455,1.009.205.359,,,913559904.0,95645455.0,1009205359.0
"Thanh lý, nhượng bán","GIÁ TRỊ HAO MÒN LỦY KẾ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,-,913.559.904,95.645.455,1.009.205.359,,,913559904.0,95645455.0,1009205359.0
Số dư tại 31/12/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 31/12/2021,Số dư tại 31/12/2021,8.427.140.475,1.437.176.091,9.383.200.300,2.769.155.251,22.016.672.117,8427140475.0,1437176091.0,9383200300.0,2769155251.0,22016672117.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số dư tại 01/01/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 01/01/2021,Số dư tại 01/01/2021,7.666.631.046,-,3.402.296.158,28.317.874,11.097.245.078,7666631046.0,,3402296158.0,28317874.0,11097245078.0
Số dư tại 31/12/2021,GIÁ TRỊ CÒN LẠI > Số dư tại 31/12/2021,Số dư tại 31/12/2021,7.119.014.538,-,2.706.009.000,2.567.014,9.827.590.552,7119014538.0,,2706009000.0,2567014.0,9827590552.0
