row_label_raw,row_label_full,col_0,Phần mềmmáy tính,Tổng,numeric__Phần mềmmáy tính,numeric__Tổng
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư tại 01/01/2021,NGUYÊN GIÁ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,2.925.326.637,2.925.326.637,2925326637.0,2925326637.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2021,Giảm trong năm > Số dư tại 31/12/2021,Số dư tại 31/12/2021,2.925.326.637,2.925.326.637,2925326637.0,2925326637.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư tại 01/01/2021,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư tại 01/01/2021,Số dư tại 01/01/2021,2.925.326.637,2.925.326.637,2925326637.0,2925326637.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,,
Số dư tại 31/12/2021,Giảm trong năm > Số dư tại 31/12/2021,Số dư tại 31/12/2021,2.925.326.637,2.925.326.637,2925326637.0,2925326637.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại 01/01/2021,Tại 01/01/2021,Tại 01/01/2021,-,-,,
Tại 31/12/2021,Tại 31/12/2021,Tại 31/12/2021,-,-,,
