row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Tính chất,31/12/2021 VND,01/01/2021 VND,numeric__Mối quan hệ,numeric__Tính chất,numeric__31/12/2021 VND,numeric__01/01/2021 VND
Phải trả khác dài hạn,Phải trả khác dài hạn,Phải trả khác dài hạn,,,130.637.679.496,142.637.679.496,,,130637679496.0,142637679496.0
Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty TNHH MTV Tasco Nam Định,Công ty con,Phải trả khác dài hạn,2.064.301.684,2.064.301.684,,,2064301684.0,2064301684.0
Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty Cổ phần Tasco Nam Thái,Công ty con,Phải trả khác dài hạn,128.573.377.812,140.573.377.812,,,128573377812.0,140573377812.0
Vay và nợ,Vay và nợ,Vay và nợ,,,104.735.866.355,158.066.118.091,,,104735866355.0,158066118091.0
Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty TNHH T'Hospital,Công ty con,Vay,-,73.400.000.000,,,,73400000000.0
Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty TNHH MTV Tasco Hải Phòng,Công ty con,Vay,3.004.589.836,3.004.589.836,,,3004589836.0,3004589836.0
Phạm Quang Dũng,Phạm Quang Dũng,Phạm Quang Dũng,Cổ đông lớn,Vay,101.731.276.519,81.661.528.255,,,101731276519.0,81661528255.0
