row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2021VND,Giá trị ghi số > 01/01/2021VND,numeric__Giá trị ghi số > 31/12/2021VND,numeric__Giá trị ghi số > 01/01/2021VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,381.325.460.207,54.548.922.527,381325460207.0,54548922527.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.299.938.282.199,1.410.945.356.867,1299938282199.0,1410945356867.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,488.707.858.861,404.702.000.000,488707858861.0,404702000000.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,73.389.607.184,39.595.000.000,73389607184.0,39595000000.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,22.800.000.000,27.800.000.000,22800000000.0,27800000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,2.266.161.208.451,1.937.591.279.394,2266161208451.0,1937591279394.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,234.195.466.355,470.698.144.771,234195466355.0,470698144771.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,831.760.648.090,911.711.974.770,831760648090.0,911711974770.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,64.229.774.966,55.927.453.139,64229774966.0,55927453139.0
Tổng,Công nợ tài chính > Tổng,Tổng,1.130.185.889.411,1.438.337.572.680,1130185889411.0,1438337572680.0
