row_label_raw,row_label_full,TT,Tên công ty,Trụ sở,Tỷ lệ vốn góp của công ty mẹ (%),Tỷ lệ quyền biểu quyết (%),Lĩnh vực kinh doanh chính,numeric__Tên công ty,numeric__Trụ sở,numeric__Tỷ lệ vốn góp của công ty mẹ (%),numeric__Tỷ lệ quyền biểu quyết (%),numeric__Lĩnh vực kinh doanh chính
,,,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,
1,1,1,Công ty Cổ phần Tasco Nam Thái,Thái Bình,"99,97","99,97",Xây lắp,,,99.97,99.97,
2,2,2,Công ty Cổ phần VETC,Hà Nội,"99,09","99,09",Dịch vụ,,,99.09,99.09,
3,3,3,Công ty TNHH MTV Tasco Nam Định,Nam Định,100,100,Xây lắp,,,100.0,100.0,
4,4,4,Công ty TNHH MTV Tasco 6,Nam Định,100,100,Hạ tầng giao thông,,,100.0,100.0,
5,5,5,Công ty TNHH MTV Tasco Quảng Bình,Quảng Bình,100,100,Hạ tầng giao thông,,,100.0,100.0,
6,6,6,Công ty TNHH MTV Tasco Hải Phòng,Hải Phòng,100,100,Hạ tầng giao thông,,,100.0,100.0,
7,7,7,Công ty TNHH T'Hospital,Hà Nội,100,100,Đầu tư lĩnh vực y tế,,,100.0,100.0,
8,8,8,Công ty TNHH MTV Dịch vụ Tasco,Hà Nội,100,100,Dịch vụ,,,100.0,100.0,
,,,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,
9,9,9,Công ty TNHH Thu phí tự động VETC,Hà Nội,"99,2","99,2",Dịch vụ thu phí,,,99.2,99.2,
10,10,10,Công ty CP Bệnh viện Mất Hà Nội cơ sở 2,Hà Nội,"67,00","67,00",Y tế,,,67.0,67.0,
,,,"Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết","Công ty liên doanh, liên kết",,,,,
1,1,1,Tổng Công ty Thăng Long - CTCP,Hà Nội,"38,61","38,61",Xây lắp,,,38.61,38.61,
2,2,2,Công ty TNHH BOT Hùng Thắng - Phú Thọ,Phú Thọ,"30,00","30,00",Hạ tầng giao thông,,,30.0,30.0,
3,3,3,Công ty CP Bất động sản Quảng Phú,Thanh Hóa,"29,49","29,49",Kinh doanh bất động sản,,,29.49,29.49,
